date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,usdt_vol,log returns,volatility
2023-02-05 16:00:00,23096.92,23157.75,22743.0,22891.8,56584.15419,1675627199999,1298872134.28873690,1533209,27858.28292000,639538904.02239440,0,1295313140.886642,-0.008887602111027348,0.035649589077406625
2023-02-05 20:00:00,22892.65,23030.0,22795.01,22932.91,29461.71768,1675641599999,675307006.76824420,969606,14708.96882000,337163548.31083580,0,675642920.0008489,0.0017942289663661626,0.035689425945840736
2023-02-06 00:00:00,22932.91,23094.92,22823.0,22895.48,29572.88535,1675655999999,679338265.54444990,936318,14892.05441000,342107674.57158880,0,677085405.073218,-0.0016334856329365266,0.03571080125649362
2023-02-06 04:00:00,22895.48,22928.2,22628.13,22879.69,39216.01093,1675670399999,894100627.91193160,1024064,19498.90269000,444562461.77456040,0,897250173.1150116,-0.0006898936967925096,0.03565469164243423
2023-02-06 08:00:00,22880.91,22939.99,22735.46,22878.23,40012.24453,1675684799999,913875141.52150190,1024229,20037.31969000,457658353.09593720,0,915409333.173582,-6.38140894722028e-05,0.03565389574124079
2023-02-06 12:00:00,22878.23,23054.66,22745.01,23041.39,58692.68023,1675699199999,1341582562.70861000,1450852,29593.08814000,676489126.42643100,0,1352360935.3247197,0.007106360489741448,0.03615430995256419
2023-02-06 16:00:00,23042.86,23158.25,22921.25,23031.03,56494.24898,1675713599999,1301416336.59196640,1439392,28220.43732000,650110446.38688820,0,1301120743.0858493,-0.0004497267638470248,0.031334051084883956
2023-02-06 20:00:00,23030.29,23032.13,22638.0,22762.52,41383.53688,1675727999999,945737833.83857840,1081540,20108.72764000,459542912.36912440,0,941993585.9017376,-0.01172711341373045,0.029121986864386107
2023-02-07 00:00:00,22762.52,22897.67,22745.78,22877.99,33497.36874,1675742399999,764950851.83058330,989272,16852.33945000,384842435.48315540,0,766352467.0600326,0.005059989310788993,0.029164086359420683
2023-02-07 04:00:00,22877.99,22986.71,22861.45,22910.91,36499.34993,1675756799999,836452214.03108980,949091,18303.56693000,419472266.37772750,0,836233321.3047363,0.0014379033203262281,0.029257269812503036
2023-02-07 08:00:00,22910.91,23064.56,22862.85,22977.24,44279.99243,1675771199999,1016574508.76459120,1130934,22113.81311000,507707738.77096520,0,1017432013.2622932,0.0028909444462854594,0.02940969290120309
2023-02-07 12:00:00,22977.24,23042.0,22876.35,22904.89,52432.35114,1675785599999,1204492678.13052350,1314630,26182.69765000,601505797.15585760,0,1200957235.3030746,-0.003153735886559872,0.029397284352320162
2023-02-07 16:00:00,22904.89,23350.25,22769.05,23091.9,97115.49334,1675799999999,2238420227.20861910,2468866,48858.10737000,1126237314.79633400,0,2242581260.657946,0.008131481802948315,0.030880199450789816
2023-02-07 20:00:00,23092.87,23309.29,23029.11,23240.46,44182.16924,1675814399999,1025038656.49144260,1441085,22302.72293000,517444233.93132900,0,1026813936.9354504,0.0064128185621346034,0.02901576032101844
2023-02-08 00:00:00,23242.42,23452.0,23225.19,23255.34,40305.77589,1675828799999,938908500.71886230,1336973,20409.33092000,475451744.03005700,0,937324522.2857525,0.000640057833525276,0.028939754803704112
2023-02-08 04:00:00,23255.34,23287.3,23183.17,23232.68,31403.38319,1675843199999,729412869.50486920,929856,15543.29806000,361037136.16463480,0,729584752.5706493,-0.0009748748944193864,0.028789623194203168
2023-02-08 08:00:00,23233.23,23239.44,23132.21,23159.07,34433.80696,1675857599999,798304838.21243740,1055102,17173.60254000,398156105.00872090,0,797454945.7531272,-0.0031734117283530594,0.02867316871977159
2023-02-08 12:00:00,23159.07,23199.58,22857.0,22872.28,65167.42448,1675871999999,1501897018.38646890,1799074,31790.95755000,732721724.02990050,0,1490527579.5854144,-0.012460799470378703,0.030799583737257805
