,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
LTC,"[-53.831736606973, -11.43073299429838, 20.72683778755444, -113.79681379224016, -197.45855282090844]","[32.85646112858998, 19.923989287146465, 31.040953057558518, 22.699475188491284, -3.4717466695455554]","[33.52325633072491, 19.437223896090227, 33.13902822989109, 22.439870549155604, -0.07774420317457598]","[32.286218267315434, 18.708789705775285, 31.973510236105835, 22.126481877731123, -0.29203027261040027]","[33.24166789435018, 17.755962633723858, 32.16207938292832, 22.016427468558444, -2.11211212139246]","[-23.24384069276454, -56.852633483093015, -30.794095519993427, -40.05991579651911, -86.98938560088742]","[31.02933782291049, 14.869468511124925, 24.823138050376095, 15.705655225384213, -0.1064885867477666]"
TRX,"[-10.215686115259572, -68.18661025001816, -76.65601512285515, -85.07218082850686, -96.91615832706754]","[43.22234821617338, 11.581159198565278, 43.55477797256286, -26.05641906838513, -1.5881371944376783]","[41.79241334679836, 10.408979433959114, 43.1802482998386, -24.805331102086175, -2.31276400793323]","[42.65288721680325, 10.449994736678947, 42.748171769622395, -25.55534150367884, -1.9089323285261224]","[43.67337951566261, 6.028522279187433, 43.11664205375561, -23.67339854528259, -3.246062774648437]","[-27.494449202447345, -59.74991944809091, -29.337158007573223, -1227.7428179940584, -65.89255345200094]","[-64.25561572044218, -1.4558298950320367, 11.526377896168501, -33.93483726247333, -29.27067771345732]"
ATOM,"[45.25620274911192, 26.47656391496676, -20.82360092439292, 33.419639517565535, -31.82809316765624]","[52.82341198620425, 44.849609450467554, 45.23115211127101, 31.22936302322318, 0.6094863909377986]","[52.84238649095837, 45.69738683073873, 46.184730529581216, 35.24995027609394, -0.727512217534759]","[53.45257832332474, 46.125366473424265, 46.22263892392252, 35.090181117023725, -0.22337180623210892]","[53.050752126709696, 44.91962811616202, 46.38532690315099, 34.667998352657854, -0.24412657421967074]","[6.017519289434471, -20.96453448054884, -27.64528233035649, -50.12542893144789, -105.04726033563878]","[52.96628238217323, 45.431308020595814, 45.82938959646382, 35.556728123630954, -3.8604038287673013]"
XMR,"[-25.63148039528551, 33.6721115703792, 39.580848545480045, 11.801725976655106, -26.370811587791877]","[41.665310190790926, 50.13007057104316, 52.989094944784796, 30.194696795243797, -3.246922881649967]","[42.466986092571, 51.36948966795055, 54.81072704434925, 22.66128134671496, 1.2092063408228435]","[41.884511363859936, 50.29591629723505, 54.1326683593203, 30.985651555199766, 1.0493645230837232]","[43.31367667385143, 51.500977058427225, 54.45437859431617, 29.041524645916567, 0.8435458591949]","[-11.609883167547228, -0.7308341376208762, -3.8302332132943055, -76.12285752642907, -112.18724188876384]","[42.76278415303675, 51.4429018661863, 54.388729781947895, 31.280785091176423, 1.1656050799932323]"
VET,"[-6.501581112146118, 28.324134708255926, 12.405576245036073, -117.08682369242374, -52.049293548448425]","[33.3665687721954, 29.073447152233474, 28.525246232843333, -4.892470207191714, 0.036128594010475856]","[32.737245328030006, 28.398994499795045, 27.272983237084205, -4.882365054174271, -1.3561827073160249]","[32.48643682635261, 28.02668890710487, 26.93188003649115, -8.826403647857944, -4.077165788037462]","[29.12237767553379, 26.52845190850714, 23.124947150734375, -11.693763049269904, -4.628395297455743]","[-29.80510700491935, -16.76288993003398, -11.420117847618506, -59.325659566422885, -69.9141229755044]","[27.79641138481434, 16.885722699787213, 27.526568609089374, -10.775693360915781, 0.364872113065052]"
ALGO,"[39.27821289301884, 4.635897114549326, 24.93367307750776, -1.0919184791197716, -6.781649968829543]","[38.9791180412248, 12.298462471959576, 26.068105286401927, 17.62839276912315, 0.8875124324239352]","[22.05278560433911, 1.361239692598037, 15.410970300746829, 11.813721226957323, -10.388431862128312]","[24.77379817199678, -10.99329585881292, 7.861122027423567, -11.245621863068743, -6.56102279604516]","[39.56750937415913, 12.148465807292819, 24.385692808484166, 12.9595478137531, -3.1249987782822726]","[-8.711600329644593, -44.510856152998144, -39.97809136174259, -45.41280209273377, -118.86968594407013]","[40.12402017444412, 11.131076695953944, 28.166859038762876, 17.485958838278165, -7.450445230167555]"
EOS,"[-65.03062066863608, 15.833501149993234, 24.8436756586362, 35.8536906620057, -10.216845000988153]","[34.660165365608094, 17.271796516648703, 31.393981309151542, 34.97460687577509, -1.8480978173336655]","[33.2860414984341, 21.04370574872484, 37.51006954281914, 36.14149988708649, -1.6584660377705027]","[20.522979659190167, 11.691074217179114, 32.022928925212554, 25.37576245803519, -15.859775906345702]","[34.8825119205063, 22.99506037258252, 34.061537342737424, 36.27386118670243, -0.9424577067655683]","[-6.756379126631716, -52.371112253920046, -14.380988783733203, -22.10938805923333, -122.16320602301134]","[35.09495200673743, 21.826994386418047, 36.88522087333049, 37.18694120658274, 0.7563021674369995]"
CHZ,"[39.86539121312835, -4.956027398749329, -81.15457264688955, 29.48486769562987, -33.81127515122094]","[43.36018296115115, 24.412947927241238, 32.06838598237226, 44.52497038469093, 0.8163663585091746]","[42.391660720808034, 27.00410263834126, 32.59375605911579, 44.79614792301724, 0.9009287721632543]","[-135.73703878600313, -29.492441884181314, -23.862738291696882, -29.077874111816104, -37.926656142154755]","[40.21985150443791, 25.230829191407693, 28.454374784779436, 40.619828440336576, 0.21826517232402085]","[-18.863914968541522, -77.23882989095404, -42.58306796902783, -19.10577126356268, -125.66309659876735]","[42.798586692491284, 24.079536841682454, 31.862530693459945, 44.24716603129687, 0.6018592636262184]"
IOTA,"[43.02648542620147, 15.630995163395871, 31.435878368464742, -3.1117005233872166, -2.4370580596862]","[43.87095559460409, 15.472664385944485, 27.498152833372558, 2.3567363910038446, -2.0887768988321596]","[48.37374940289392, 26.737806353779487, 37.56007280022677, 6.605760486024946, -3.184063164161518]","[48.213119168872296, 30.688789567491963, 38.307739290365745, 7.145141415610544, -1.5636461532478891]","[46.54419472545624, 24.81602691428814, 38.180303213085885, 4.243889812304668, -0.5264650087447231]","[-7.328641678705003, -47.342392754190996, -24.01165384298426, -58.748328047999124, -67.1745675671804]","[42.39226546329704, 27.684673527168723, 36.19665908600102, 6.76281695866669, -2.592121875543054]"
NEO,"[-27.511823946914433, -2.9335371593675497, -11.604799004463452, -25.440757202604154, -12.155145778621458]","[8.126558223706747, -1.9280942675452681, 8.418305678116472, -27.11924491489215, -1.0464304918294318]","[7.830699169073023, -1.716032427890087, 8.728077432503282, -27.25290313348239, -1.393831355228464]","[8.569493648512502, -4.48735218290933, -27.67379148848858, -29.690806353286987, 0.054099249924064285]","[9.37786761227911, -1.2065606497485986, 7.317730774685166, -27.27847003644065, -1.568628204877293]","[-63.75031641451605, -74.37230905930781, -35.998611038395666, -87.5396352230992, -54.08151831248611]","[8.927500955460097, -12.838747466961998, 10.333989335790825, -26.85895434483762, -0.4783224581964462]"
XTZ,"[40.819684050204636, 2.7421442859454856, 29.446448065130614, -10.364065627966552, -0.5001310931937744]","[42.243880159315964, 33.75891071197114, 29.14190294766266, -9.743693820781875, 0.8287957324298955]","[42.57654096335201, 34.4215132582786, 28.947287349297206, -8.247281535850002, -3.1415044125404994]","[42.53662083842942, 34.14837160948215, 29.165868893737024, -9.162162042205747, -1.2713901028312435]","[41.49464391269841, 33.95655818247527, 18.446864258286187, -6.787652650467743, -2.197817875244727]","[-5.290171566213946, -23.072028948387764, -25.588862196833475, -68.79935961796639, -57.11510174561999]","[42.42633171856347, 34.257541051953964, 29.83059753600017, -8.202137366533002, -1.1107251297529388]"
