,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
LTC,"[79.80836985604793, 2029.6598052115912, 60.25846820482909, 1286670.2112982727, 81.29933119606403]","[10.072138729315903, 11.604477319100255, 35.318694599727685, 16.84068918191705, 40.07321516655891]","[11.635063419894374, 9.757211267695503, 21.637811897787767, 18.788710367947353, 29.03010488675083]","[25.26389462184978, 22.828036492875704, 22.410272404481905, 23.8767129226192, 24.633777505871304]","[9.766877206071364, 11.088701100524633, 13.689109224214892, 24.241485105304264, 33.81689236325578]","[26.43328107065917, 21.821808982648086, 23.410104395601603, 39.98686111651928, 27.124835825245047]","[43.453534135834104, 47.62047431381818, 313.3245814465978, 53.86134333725686, 15.289391796140874]"
TRX,"[5.618491938068575, 4.902861544861679, 0.058421384004680506, 0.9922509379400258, 0.05516630340808043]","[0.009546679126075378, 0.006129599818790812, 0.011064081189699183, 0.012992554673137586, 0.011183023107968844]","[0.01638093240002395, 0.0041133503291349936, 0.00869539516095943, 0.009062303708358324, 0.019591961217928486]","[0.005315549987250819, 0.005278157145175973, 0.011173093943167992, 0.013603506417505698, 0.014976623899753629]","[0.00576782697246924, 0.031223742659189587, 0.019252272299541642, 0.011519514232558216, 0.025160346363851876]","[0.011888826186094836, 0.026629969669372974, 0.02361873902524827, 0.05238506283163236, 0.012013659808146842]","[0.0578971073142027, 0.16776085496642887, 1.2939457220169095, 0.03121521428398674, 0.04152773997025273]"
ATOM,"[57.19158888624186, 223.35971769321355, 22642.590911633975, 2.829524718974334, 9.815009322016403]","[2.00474862111464, 1.7300518004598768, 2.5925937065018285, 4.591947863413014, 4.378234764568395]","[3.784520456323558, 3.3677709399273015, 2.005924430828317, 3.754321100722187, 3.3247888101572722]","[1.7757918869391083, 2.5221007339932626, 3.2930506381639515, 3.482820387675257, 3.242501857486458]","[3.632890364609674, 5.224212357190668, 3.569916126493581, 6.149345859370328, 5.689561982660751]","[6.947535303719773, 4.875252807474177, 4.345452205161415, 13.073416791326038, 5.003167652574256]","[1.7490394837377135, 1.6087128603757164, 3.2599710680656084, 2.03819954423023, 6.69969513312876]"
XMR,"[138.8322643676607, 115.15840471531219, 112.7826382203017, 110.36106117563084, 104.37345118270717]","[13.48754427907409, 22.035533444330582, 46.05469177125546, 23.59698988269527, 56.345242400069836]","[35.634792074165084, 34.914738621829656, 13.629027143031035, 90.71266630863343, 26.479840011863697]","[35.911610726722195, 32.29036843884299, 26.272480844143935, 20.06060874582069, 28.474385594006467]","[14.63714421784543, 25.443466200569056, 38.195603471644375, 61.641002842496505, 31.773340217811835]","[59.113605619709396, 38.633199032887205, 84.83170332206818, 118.56727539962313, 49.22204350236827]","[46.13007105116486, 26.117125447496473, 41.040557018418674, 20.79744180982055, 34.30475483503927]"
VET,"[0.020243636490400212, 0.008501849212805852, 0.2849002444783844, 0.020989377746818704, 0.02004138518529236]","[0.002969957789108894, 0.002939247372779402, 0.006847172980654133, 0.009828939530934302, 0.008852004287753724]","[0.0031333111348326842, 0.005698898797081756, 0.008407130779185805, 0.007685922057188379, 0.009597788420095626]","[0.007601699351269448, 0.008465701778305875, 0.008923352586739843, 0.013228688993032698, 0.012910269224285608]","[0.0025953195012517324, 0.0029462478078371205, 0.010022637069278154, 0.010079237217127324, 0.008411850437864554]","[0.010588941755798928, 0.01182840460633972, 0.00940768656279484, 0.010846113629038525, 0.008170127220133133]","[0.014602789696212476, 0.01730548462845925, 0.00782454472013211, 0.014274391203536458, 0.007998501198416252]"
ALGO,"[0.05013349622896475, 0.6818457308896414, 0.09282599190704986, 0.18117683625448777, 0.04651578808913376]","[0.04589827442460658, 0.05305137938487053, 0.03972450681716525, 0.040675350144164305, 0.05684532396528617]","[0.06357235238017946, 0.030730877265985175, 0.14038467975489483, 0.036429655776555304, 0.07552172358767052]","[0.0870040816549134, 0.09034431533836426, 0.0811609892375782, 0.1141204768690431, 0.08216655452880783]","[0.051142806235418684, 0.03923048975605402, 0.06524353073102876, 0.14898020528528022, 0.05580539174280086]","[0.32649286227853813, 0.059782773233197244, 0.1569673516777089, 0.03870822187252091, 0.10857292840344854]","[0.10160562254451834, 0.11891561084582425, 0.03573979502309678, 0.035365567357889975, 0.14982398312970402]"
EOS,"[0.9984408001000593, 0.34270262465109624, 0.7770639079705091, 0.13974965591672353, 0.7122921111119133]","[0.33428534578321767, 0.2611586901637836, 0.4143967275942582, 0.5042466228049829, 0.4185489316987217]","[0.3877379508619769, 0.5473745152904286, 0.09786785109910712, 0.3527421145936286, 0.37246608284260396]","[0.11438559424676681, 0.0825544924204288, 0.12363394204931843, 0.4352334228687221, 0.4604454165505267]","[0.354201861909267, 0.32865073164811326, 0.5988415199140408, 0.3339907027230109, 0.3862054225979644]","[0.6179796887762883, 0.9842161554054375, 0.7674833401015043, 0.3465382782946403, 0.4059016781790531]","[0.15559704163713717, 0.9723695972384295, 0.29263672176946726, 0.0739417636103326, 0.36001810725454597]"
CHZ,"[0.3361793392857972, 7.825711924671895, 11950.471613788182, 2.851410592061529, 5.105699132151652]","[0.02222115941887478, 0.1390100740980445, 0.03351058239282444, 0.05961149020286923, 0.02720073574122896]","[0.16690419949197077, 0.0600471115685348, 0.0366993086681483, 0.033349762083053, 0.025644463544499976]","[0.12182696205620015, 0.11230377661979847, 103.9143926506616, 1745.3290315740007, 0.10477359964503344]","[0.21219303295711553, 0.09416794404977342, 0.029415614036914412, 0.04751226647603587, 0.029240452314460458]","[0.14053667020682797, 0.0771190304005605, 0.07508629287463567, 0.060482890119827666, 0.1729388195133849]","[0.02239431432483729, 0.11595502519655433, 0.04335175954020005, 0.05163864795104064, 0.022768393916225923]"
IOTA,"[0.31565041327459653, 0.15268239588256816, 0.12083200913384948, 0.49717497678915584, 0.06380292870846688]","[0.03506677410009789, 0.0720969885125416, 0.06178407555712768, 0.10072430727552359, 0.09373889518345191]","[0.05724600028554116, 0.08507169252927334, 0.07808885803939737, 0.0711668196070011, 0.09389625502730585]","[0.028646486779657664, 0.02904734346558998, 0.037691170682494536, 0.05658273738229802, 0.06957973954354534]","[0.07027168316361389, 0.0996184009419482, 0.06334168435852586, 0.0453979895234012, 0.06252163657137513]","[0.1127185164460173, 0.07229016768730112, 0.09239218484503925, 0.049155788514435694, 0.05428348047523893]","[0.13471967755293462, 0.0985889444585666, 0.044498310419425216, 0.05390777810061394, 0.22002170281387917]"
NEO,"[8.902722499172986, 24.348124281895075, 8.59847028141221, 5.301010183249842, 8.086702624219601]","[3.6133647175725176, 4.077611098419545, 5.210552735479642, 5.070967503101388, 5.143895499280524]","[4.6168881527481025, 4.027781757420948, 5.006700683336548, 5.219909367397015, 5.451435868292499]","[2.8747557083933573, 23.221964222195073, 8.945001816200579, 6.396948358720414, 3.3506044924531513]","[3.1355564945368535, 4.403351737635581, 6.480846244261971, 5.964088843641737, 6.436783637866041]","[6.700961234665916, 5.35595258215957, 2.5202044869053184, 6.782689035161915, 5.407904291603209]","[8.980902529378085, 116.63292457760967, 2.5074226608226438, 5.822140088177256, 12.560886505783964]"
XTZ,"[0.4788817816215761, 0.929046943331884, 0.29337597436953283, 0.1903180448304149, 0.1788587277826405]","[0.16984523514532113, 0.3009661294933448, 0.22411674668738146, 0.3282237895711738, 0.2985038853260224]","[0.2921706499553459, 0.21699617448173075, 0.4314739518966813, 0.2885487404712798, 0.4911665736674702]","[0.27368405395956646, 0.3143221200970867, 0.2849834848356612, 0.3803762083842582, 0.1871421428317136]","[0.3161791490392188, 0.2346182791074647, 0.8169918691173451, 0.24067291936440638, 0.44164004195971607]","[0.45300150846429743, 0.688972279940735, 0.37388644901159984, 1.6267116188109603, 0.568007552520813]","[0.24095676383682188, 0.1513273893868086, 0.1444517235733502, 0.26743243269998623, 0.2341724611625046]"
