,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
LTC,"[43.59332367283898, 71.54864218464796, 2078.8771145171895, 72.60309307585713, 2.151587635065015]","[3.126329742555213, 9.622285712090903, 3.892199419774689, 2.0362649570474787, 2.3728618652333404]","[4.0361731877243345, 3.520650030471419, 17.78522800243154, 16.33935557098275, 1.9776844320971938]","[6.880244802064227, 2.3550275490915475, 6.988606039364783, 3.08189653741355, 20.55291436114834]","[2.2551998327492635, 4.916611639984076, 5.5176985602927155, 13.350885690617904, 4.128109896655641]","[19.187736437950235, 11.045729737634831, 15.994239258531938, 4.859534763992026, 11.094292389340188]","[34.76878485038169, 39.47054396930239, 80.13032310998572, 26.288069335043385, 33.49380163646227]"
TRX,"[0.032925013405845006, 0.007287145812131546, 0.3394100669055291, 0.021570537426761245, 0.04111882865555327]","[0.0016632806272644904, 0.0018046793463465988, 0.004174328520216631, 0.000878483638731394, 0.0009033621153705572]","[0.00306721985393946, 0.0013528269472124139, 0.0010419148135624497, 0.0016647317579636316, 0.0019596701852836284]","[0.0011579900237208129, 0.0027256711456173062, 0.0010536064906611182, 0.00257544552716559, 0.006002347302372488]","[0.008391390245375985, 0.011244880767934033, 0.014806497871644564, 0.009257696844881964, 0.007451653890733286]","[0.007959874867946477, 0.006644663810819406, 0.011839393491566392, 0.003644690971554043, 0.0039060537676747172]","[0.004787102434735791, 0.0188906774773284, 0.011229795778512287, 0.04449382005453107, 0.2856249558491445]"
ATOM,"[9.328121746452618, 925442501421.9486, 9.596719932556617, 10.803424789444017, 10.402845262635946]","[0.5319564885791935, 0.931674690819186, 0.43630827368002983, 1.2762933165646788, 0.9945019949656854]","[3.950139855287502, 2.4582376491791, 4.108653382378075, 0.8495024953837077, 2.739913618035244]","[0.9951801836654052, 0.6297216134456302, 0.30205440110584786, 1.0244038482488032, 3.7936049635680065]","[1.9913479357391817, 1.171462570735087, 0.250415398689644, 2.442363818875674, 0.2913091108046049]","[0.6907050976756627, 23.66895031933271, 1.7797932932842662, 0.9748939545765932, 0.7185302969228518]","[4.651175900865603, 5.747215796599046, 6.2505971525362405, 1.8356000522645337, 238.0741032068447]"
XMR,"[96.70610058233912, 7007.979363710202, 802.8893746718727, 87.65027950521363, 58.3810163961658]","[8.671389802555664, 10.16460941644103, 4.21873143740138, 4.7268126775805825, 8.619508742848847]","[5.280209909282784, 4.35434604603822, 14.322681836454057, 8.191224529062016, 9.685629203684712]","[11.435630683899646, 6.780212386611012, 5.513550753597184, 39.946753664606376, 37.1589689492852]","[42.28743695094721, 23.88650009120174, 3.554295727076292, 11.055405914382899, 34.65650091904]","[21.001574859741083, 21.99444756029369, 13.502778907358051, 32.475637211670254, 9.932730597206302]","[34.01706608530263, 55.254862592242304, 56.60925855298611, 126.16521380104469, 45.58962199787142]"
VET,"[0.021603850251101193, 0.14056982485200206, 0.013486963576932284, 0.032302113530693476, 0.013155914958947319]","[0.00253314289203115, 0.0015807870092703427, 0.004925627496869441, 0.002073466652213031, 0.001551408976474958]","[0.00111580902538024, 0.00376123392851431, 0.001029678391417619, 0.000813536091247153, 0.0011132169645498872]","[0.0009165467641284854, 0.0006743212792590423, 0.0009533845539722167, 0.0013549393663718121, 0.0006639245089895164]","[0.004514720601426487, 0.00652449534036765, 0.010807717106948207, 0.0009589928271485223, 0.009466386598185947]","[0.0025500760846287915, 0.004487990003731233, 0.0020059380489739456, 0.0025627614378688195, 0.003323361803246267]","[0.004215940321434107, 0.005208141741616218, 0.006771984194648857, 0.011871206014129304, 0.005709850235214836]"
ALGO,"[0.40442659555780597, 0.04272664548848616, 0.13483335278752737, 0.16467217074802606, 5.884953331826382]","[0.08826410365844241, 0.030466874864582452, 0.007604916046085855, 0.03342951260637254, 0.024620754754120542]","[0.03406338433607183, 0.016500457380159587, 0.013598904151449237, 0.007494261618921943, 0.02252456943869469]","[0.012518769083237399, 0.014908275226236372, 0.02823856209590503, 0.02202921325786135, 0.0280551006894471]","[0.024655441168311778, 0.007363842073385925, 0.01025534875133288, 0.14280664128566192, 0.07873136642969149]","[0.026069307523536443, 0.013206294822013905, 0.032049682187457164, 0.06687840507117941, 0.16347342893026695]","[0.06587954188927891, 0.011374699075821814, 0.011174164783697777, 0.009911637470558116, 0.017508584733077037]"
EOS,"[0.7018255980286191, 0.6718956375008343, 0.383013274305892, 0.534058082008388, 0.6621070580547238]","[0.03057295517733553, 0.04083438768256702, 0.07366561316347543, 0.04124659883588167, 0.10428954346059463]","[0.03215829834384644, 0.0299777760290802, 0.033131667664005104, 0.03456728880925844, 0.040248522222880445]","[0.07813750424774417, 0.049013803947502634, 0.03416457404069903, 0.03690956222676612, 0.03515351274142969]","[0.06168483000568508, 0.6191797845136408, 0.08290885195892239, 0.3691464262660827, 0.0370409553085372]","[0.23274880143172746, 1.055255137430413, 0.2568096732155904, 0.060738462422484235, 0.1819305698491871]","[0.39478709788592903, 0.4089619273147362, 0.5955197809552263, 0.4694225678251327, 0.10253491911039808]"
CHZ,"[126.79419957145147, 0.05839275301222257, 2.8880987588931064, 1.749555183681602, 1969.333321521328]","[0.007080608463763556, 0.00637143287896179, 0.008672990198035743, 0.007272411470181078, 0.010103674199691659]","[0.012976732044301413, 0.008633419797982381, 0.029619899244900702, 0.029947944958931185, 0.004040778242336657]","[0.01492774595806029, 0.01298074130846112, 0.014144962772269466, 0.004308621210176745, 0.02117873467476648]","[0.01140258151084054, 0.02649154868300329, 0.0049247437139196375, 0.004228781756608766, 0.004772570512006282]","[0.017304798854534093, 0.04338341104598377, 0.007078419786410813, 0.0820031820246571, 0.021813000063541463]","[0.014174176478309729, 0.013305534020776784, 0.01295463147992728, 0.024660818435110338, 0.1543304637331729]"
IOTA,"[0.08379008974647904, 0.05215395449014701, 0.027104723815156467, 0.12869801543490536, 0.026616583115553854]","[0.015896069392855386, 0.0077147358130767955, 0.00739748659706246, 0.006084631912323564, 0.026849193138186928]","[0.018876967471683166, 0.0063012851911944485, 0.009109828140564295, 0.06985291190493968, 0.1618648814989021]","[0.009198176866767055, 0.02807161474391241, 0.006527600207151918, 0.017564100113127798, 0.01002227346552358]","[0.0129041064366023, 0.014306057106215492, 0.029459422217520674, 0.013035469256971344, 0.06074045845804864]","[0.025115157702005425, 0.018732398203491724, 0.05908397120049384, 0.022919616937017686, 0.07747403137316103]","[0.15983672985180455, 0.49635492944589876, 0.14440860471504502, 0.044913974376656125, 0.005892841878193292]"
NEO,"[189687.59451851514, 27575708.210318223, 4.60210934456434, 11304.304982454853, 29528.21528159089]","[1.3071736441133819, 0.906061114786674, 0.7161908603418846, 1.938470513804487, 1.7847084976841783]","[1.2823302363016214, 1.1507799375886587, 1.4200867669199708, 2.0326949670759764, 1.890294188091324]","[0.6840380270283165, 2.5073445845889326, 2.2729576921213566, 3.282355792810145, 3.685590090432242]","[0.7557173157193909, 0.6850106258225402, 0.5274507524522454, 4.9538516973064, 2.614287912151112]","[0.8867053847473352, 1.9007082479714728, 1.2892554538716114, 1.0812864861224563, 10.442326688926057]","[2.7337975208820713, 19.941298880261286, 3.1539096079459177, 2.95784922465058, 7.973324232947011]"
XTZ,"[475971726832.9241, 1.035618725088822, 257880383884938.7, 1.1263022806569352e+24, 3629.104104525161]","[0.03328008033948804, 0.049935090234053424, 0.05444523308647117, 0.12780417482377854, 0.04799725575756756]","[0.04285484592091283, 0.09187970779461527, 0.14710191427412242, 0.0729537426681813, 0.05006657657375536]","[0.09893429062444789, 0.07267763789858164, 0.048233422644111915, 0.21542818939324931, 0.5403782610788038]","[0.03882470644465876, 0.15328757048964542, 0.13986621198080668, 1.785256078278498, 0.09927094996106925]","[0.1664222054849765, 0.0759172925556747, 0.338655180856994, 0.12138892641643104, 0.04428630546494495]","[0.09979001861903838, 0.1286346751501236, 0.038121625498542866, 0.23371219666703452, 0.02859469651732097]"
