,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
LTC,"[153.66885357308803, 72.81730145782434, 116.63514370806216, 25.0623280759281, 1175.4033383175768]","[4.33764160386921, 4.1359010090119535, 3.4470709638765507, 1.0234010727649623, 1.3873344065876094]","[2.267175541000053, 2.36229086930159, 1.9304328781044526, 0.46105622584628025, 13.385099233115021]","[0.23472486469685064, 1.7313665735562276, 0.7658585442564525, 0.17134780921809076, 0.27547499866731956]","[1.029914938256795, 0.8845619260772769, 0.5042514104004119, 2.3748172855739402, 6.392601422734693]","[1.9787782783525678, 2.4129702055264355, 0.7355015034658309, 0.5980048020605588, 3382.385841374981]","[7.589731689744326, 13.814606411020149, 11.208877957529685, 1.393988898457887, 5.509498500790527]"
TRX,"[0.016952726286685118, 0.03509356867937809, 0.01055749855925176, 0.03468210375516121, 0.03862291633109319]","[0.0001461967745036703, 0.00010940494438345913, 0.0002836519287512642, 7.549514012390469e-05, 5.115567786274118e-05]","[0.0008297548787629341, 0.000501334759704088, 7.855837847598245e-05, 0.00023807792770858395, 0.0005414442081687065]","[0.0004101424695898352, 0.00019985131364398656, 6.645455892582504e-05, 0.0001345918807600271, 0.00324617909513895]","[0.018721109502635336, 0.009191089221234412, 0.0002702887372514418, 3.781831898833094e-05, 0.025381386518013915]","[0.002885032743556275, 0.0025252359427674256, 0.0020613430915051526, 0.0041683094954149645, 0.0010397890034358026]","[0.0023432492592456895, 0.008352560042901672, 0.003617231699317648, 0.006722925673396895, 0.0032145057345436905]"
ATOM,"[7.236640916127402, 0.4350097158739806, 2.8041444022306723, 1.9349602812761872, 27.151431359563066]","[0.2166051790463367, 0.04827010747937661, 0.10692188386292883, 0.249387340995296, 0.4249667989937501]","[0.050450537382353645, 0.07755863512598611, 0.05527458498388663, 0.09799057517060308, 0.6186325519294592]","[0.06887175375464821, 0.4259435228301588, 0.04720522837021529, 0.7013200466542908, 0.4736100510233515]","[0.04017000865646358, 0.18092674161864847, 0.5511407588989461, 0.8691749699956924, 1.0075273212777691]","[2.1471452577684156, 1.540668283959028, 0.9545236272236961, 2.4690131926091947, 0.642689078197652]","[0.06651151186545629, 0.16948979885136076, 0.33425420600599265, 0.1097978280269453, 0.27445530007903957]"
XMR,"[181.4392243971026, 72.54075879706046, 49.26108679931631, 59.676502847136526, 30.720095583169346]","[0.15045317336484396, 12.68362345207063, 3.050239096137632, 9.021611649501374, 6.50295262828553]","[0.9446555907398153, 7.982623976171343, 3.1553976412361244, 0.7252353314635671, 1.0319681718941363]","[4.657267559299384, 2.4426355175543137, 4.536271200142714, 2.7942050886040595, 1.341729241282826]","[13.196062163153266, 32.4606336133808, 15.433988821298863, 3.731447072242125, 5.4319495324025535]","[19.442803321959037, 36.23108132699797, 1.9241383992210441, 3.258637575860287, 129.39730380274713]","[3.826699778114561, 0.763783778911371, 5.227842745085569, 8.94745409838807, 14.069294526887335]"
VET,"[0.017406787524175314, 0.009554849985450429, 0.10684183546550023, 0.0219428875009892, 0.014870738953850198]","[0.0007226515139590994, 0.0003881993165216097, 5.2264201707508755e-05, 0.0007429330347447318, 8.444677586109115e-05]","[0.00010852306207500398, 0.00013286820571963272, 4.518164359425572e-05, 0.0005397491605336266, 0.0005703937286250001]","[0.002064404446583245, 0.0022458876756143538, 0.0016961778868491571, 0.0013548973434559268, 0.0028957246444660744]","[4.933033520686989e-05, 0.005948153099235335, 5.943286260517335e-05, 8.121495371407176e-05, 0.00014170296810518142]","[0.000534505480052179, 0.00016572347976145252, 0.00011273836400384039, 0.0006362024826207065, 0.00019806381593999984]","[0.08660197221118635, 0.014704524691666164, 0.011794843008233299, 0.32824262318472264, 0.012980010294539608]"
ALGO,"[0.17554833274410295, 0.0030210629023434436, 0.19046531814428086, 0.07472883249953773, 0.018944040310158294]","[0.002289065422972161, 0.009865457414011822, 0.0011486673536568598, 0.007934716056896293, 0.002066846901909606]","[0.0009756465217585629, 0.001035115377342214, 0.0019073598681401411, 0.0016647196820056935, 0.0004215373454109164]","[0.0009753031926924949, 0.001061955829769827, 0.0052062604440029385, 0.0016613186275723142, 0.002071135655564744]","[0.0003144148077175662, 0.002611198877319425, 0.00188312231090573, 0.0053091040713638534, 0.0010669180436813886]","[0.012688362434709182, 0.03478895686903191, 0.05763145735830502, 0.04528816877672423, 0.044363555687067284]","[0.032265972302686616, 0.0016403215445916857, 0.027802783551320348, 0.031377303706844696, 0.1602097894842631]"
EOS,"[1.0385493013699136, 0.37832555268497503, 1.340799483581203, 0.011339367490450301, 0.516074336163332]","[0.012112480795051523, 0.0041160252718025, 0.003807234278990126, 0.003068365568626112, 0.1942378179325531]","[0.0015480842148169075, 0.005047452782907542, 0.0015782787870972502, 0.005963053100046857, 0.004190428852850847]","[0.01278723262791685, 0.023593957533250207, 0.016249199842806046, 0.034149860507455054, 0.04467374513929552]","[0.002788485442980343, 0.01241371831281833, 0.030008933532072925, 0.060936702180722106, 0.3463553168302542]","[0.25498465497727957, 0.021540257438883978, 0.038193323663806275, 0.011384606682523257, 0.01632353808417178]","[0.43908689425386277, 0.654151267965907, 0.0032826968608008164, 0.40245911102550763, 0.3595098503305097]"
CHZ,"[0.1160288503416769, 0.05174209472077764, 0.0467861317441059, 0.20408278602580449, 0.29958511169156393]","[0.0007104449540322628, 0.0015226678731571016, 0.00871647842685119, 0.003297437996085804, 0.00842974125448812]","[0.0007257106865122419, 0.00209472114189138, 0.002208148695161373, 0.00029865856505366595, 0.0027279247518756594]","[0.0022142151911760674, 0.0024769010070151273, 0.0051886422106234165, 0.003947287907111412, 0.007641561863945602]","[0.004784714854063013, 0.00047295576677375116, 0.002243723993175789, 0.0005490697629365191, 0.006238978033458652]","[0.00587588187935692, 0.016164900238977528, 0.018025937027579902, 0.0734188558818311, 0.037068576101807055]","[0.07527175258859346, 0.05626592693671582, 0.7500082360904896, 0.07777766315000922, 0.11041433919575201]"
IOTA,"[0.12994952157727352, 0.11027308791048218, 0.019660106835965037, 0.06702419555752484, 0.01752252078187705]","[0.005719921570926117, 0.009871271259069258, 0.015219992320609502, 0.005164130860628869, 0.0011457033050961717]","[0.0011139168119883114, 0.0013605201363444956, 0.0019268429080191584, 0.0011182235766028542, 0.003143501016208061]","[0.0015654183797185173, 0.0015804087147929264, 0.002182608630588408, 0.000984507509499352, 0.00276095384572257]","[0.000753925918094001, 0.002814145695680407, 0.0005978796103168925, 0.00447469031300147, 0.0009886231051545497]","[0.019199411224164145, 0.03191516447372993, 0.0037078653079425086, 0.020225895829622517, 0.022844459058054614]","[0.06755759699371881, 0.10578605681979536, 0.08962279834476934, 0.05580426848182477, 0.17084288147779966]"
NEO,"[0.35482561875874735, 7.512006172620297, 45.76469571787373, 3.5178214604737104, 75.37797196244935]","[0.09506372659131576, 1.296034577032369, 0.9757153748477019, 2.9822056875420264, 2.7762805589124535]","[0.04644206832354159, 0.03686106357702008, 0.0300089605317563, 0.03593770194098805, 0.08267431452188047]","[0.18547534996532458, 0.274999078532284, 0.04517352536452669, 0.05176075069496628, 0.08863968672852887]","[0.027744216503130165, 0.27776661748573367, 0.17789831587286942, 0.2104771831829743, 0.9500240781492039]","[1.784602052254131, 0.34370249991344703, 2.0539966055766117, 0.6210149299343949, 1.3732891889715233]","[3.510710399472777, 3.0489382939492553, 5.394659679602272, 3.781312549463045, 1.1794054946113322]"
XTZ,"[0.9395151744273997, 27.575020452600047, 6.479582470889625, 1.8813207065742608, 1.2495373009944484]","[0.007068613865852637, 0.08024470127862622, 0.002657715489828938, 0.21467108604244484, 0.20751618755072643]","[0.18539644627535415, 0.06438665671577637, 0.24132565887372617, 0.041487200532766604, 0.018417772332838193]","[0.03395206357682397, 0.024648300394155866, 0.007995862540013984, 0.24084160126176393, 0.06553024860119563]","[0.015206378033986681, 0.007142199247410941, 0.04710582792973848, 0.010141712742191866, 0.005655033683229407]","[0.03805805565900398, 0.020076023404308783, 0.009452974066613096, 0.0464076673463804, 0.03280497518909501]","[0.28184447978716903, 0.09785788323899386, 0.028979496694440447, 0.15665054739963422, 0.16844161619968412]"
