,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
LTC,"[4.658976540240515, 120.03701165595676, 79.28630676647107, 69.19898746385185, 5.558148342694501]","[3.7633242526202637, 3.731935362479888, 10.299162948437035, 2.7387531452847447, 20.81736510970405]","[5.085509808720338, 5.18211360218765, 3.721493953364566, 1.886447382393197, 2.8554607071929383]","[2.8259984109307568, 6.067691766372118, 1.9830373904289045, 3.8768558002569575, 4.487267276387199]","[4.80587242025454, 3.040032919115065, 8.448654725628014, 10.805029102737928, 2.5922351947664173]","[4.060674720821177, 3.000116699077883, 6.814542420669002, 3.2104680037600266, 1.7599783157560291]","[10.694112698290896, 17.5010479344791, 37.8717780464481, 5.338174172506094, 63.63818252307731]"
TRX,"[0.029352755220341118, 0.3184486927223575, 0.04907209897100632, 0.05464142503361076, 122.40003468938953]","[0.002173671243628074, 0.002559685970651474, 0.0021310154388740755, 0.0007458287839802302, 0.0020983924999278362]","[0.004243887634012059, 0.001334984107969341, 0.0015783561811139732, 0.0008973167685036237, 0.001219612612082515]","[0.0014582949053214545, 0.0006615805309943097, 0.0014089500483052554, 0.001552030927478546, 0.002664989558761027]","[0.002888517378223805, 0.0018615537181509148, 0.004959583810057536, 0.0021023740225397593, 0.0009007810974107407]","[0.0009695349936605326, 0.009499718740263577, 0.0015026114890771371, 0.0052383433056299045, 0.0013393132997972855]","[0.03398521115903403, 0.028612994356559923, 0.0768274079483928, 0.009795578834862284, 0.0038986775183626602]"
ATOM,"[8.374036867524678, 7.298724474530881, 8.871274428756692, 5.935729962639671, 17.28585318094207]","[0.6099380492578413, 0.48189421290232354, 0.9432664932434557, 0.5730237834166572, 1.8213294636700978]","[0.9934963449579204, 0.4046099714825882, 1.0901179251715354, 0.5829070990412079, 0.5330798843524739]","[1.1880873266691325, 0.5356643679164095, 0.20351142042841305, 0.5031899414604944, 0.38929405653013943]","[0.2537666038542618, 0.16394510953463368, 0.2968036992247535, 0.8340935372976211, 0.4326490519949381]","[2.2814069696652393, 0.8307135653424003, 0.6203775390490313, 2.0586937704386585, 1.2850813851446161]","[0.18657362173795777, 0.7553949460049899, 1.811004231729237, 0.21235472294669344, 0.7353779374101874]"
XMR,"[62.25699642944602, 86.18097617782955, 21.013423672758762, 34.85069494274556, 147.32017236167982]","[2.9104308955855873, 0.9904933524664942, 1.329710826895293, 1.3742313596992226, 3.3370422142088887]","[0.9855986548802049, 0.9215544439824859, 1.0574915159451086, 3.4556331443497137, 1.4214851423912036]","[6.709349050959261, 5.668030676756694, 8.993405436286157, 2.204376146642815, 4.990846953790127]","[1.847716104409246, 1.033195295679052, 1.378601841274248, 6.680307789476934, 1.1763464568901167]","[23.2684585489071, 6.386510205387981, 1.675655565060319, 1.4191375403760056, 2.550703644010389]","[13.745042352644521, 31.460019975546984, 65.7763777490156, 18.503326641940273, 59.38216263272242]"
VET,"[0.05594511241564915, 0.01979100786393142, 0.005204476158096481, 0.019060833000465897, 0.04981441763137127]","[0.0011968191524268613, 0.00386719365317342, 0.0009800104787990437, 0.0005530508308024886, 0.0006908725016293345]","[0.0006868601828392559, 0.0006296565612501651, 0.0004108989464880373, 0.0014041739804721523, 0.00035817335408675616]","[0.000461416193290337, 0.0014768103492824574, 0.0010130786460878696, 0.00036367972916780047, 0.0006156043554044277]","[0.0019259834698607098, 0.005461332486883455, 0.00044551894136732627, 0.0031738241954232314, 0.00045903385269399974]","[0.0013442381636307565, 0.0024728052688874347, 0.0013688193952406554, 0.00030891088078910915, 0.0021631390424467867]","[0.005442019798586153, 0.004584898295776838, 0.059568647252591346, 0.005923865090990944, 0.008017696246095104]"
ALGO,"[2017.4065114272712, 0.2229853691419812, 0.22547685222012653, 416535611824.46704, 9.344115934569148e+29]","[0.007123920166755253, 0.011628574619933753, 0.010091545528492939, 0.006621763296011335, 0.01018318243358358]","[0.012686099764338718, 0.012931906694025464, 0.011411414915138328, 0.007512534335794731, 0.009722812202339443]","[0.010127629349223491, 0.009809248334964759, 0.007249306665816683, 0.03088462835410354, 0.006880834328197391]","[0.011585218857481244, 0.004876133772187035, 0.013490670957469884, 0.009015661395270276, 0.010214030289478504]","[0.015316410883750183, 0.0025296739213822033, 0.005686654831009666, 0.01853279556765647, 0.007711011845739091]","[0.012801491782613793, 0.161003795882734, 1.2127303259060809, 0.8807658616536573, 0.1369050679612079]"
EOS,"[0.213051392174825, 0.035944456789503074, 0.06335717517912379, 0.03716939273335526, 0.0868751210864883]","[0.01981819022354795, 0.03234536012992231, 0.018383463481194528, 0.033720513836176545, 0.05313821137364846]","[0.039991753075500534, 0.07962746498030938, 0.02294530307138931, 0.06731343789795494, 0.08040069950709135]","[0.025297628706045176, 0.03235411419539049, 0.02062274685998216, 0.01912956791694476, 0.030975707635287186]","[0.02409963726175702, 0.031706196524558077, 0.025354413982852757, 0.10771949890392825, 0.06364004720416384]","[0.04436839451556524, 0.0945822482318987, 0.09688226754738309, 0.03910408754999378, 0.595163392060396]","[0.20125884557686508, 3.626816165339835, 3.383887183666313, 11.08309281697915, 0.8251642092426451]"
CHZ,"[0.07448998244714061, 0.04635127914547111, 0.1043879845760988, 0.05098791963950429, 0.01841045428802055]","[0.0015297769509376986, 0.0032656200603323852, 0.002391973713440847, 0.0047664887469158115, 0.005956898991671586]","[0.0030941324380057106, 0.0033012402191119443, 0.0016528594382749942, 0.0015987543947836402, 0.007316119063703606]","[0.002090593970574398, 0.0014834235710577705, 0.0014390555707715687, 0.0034269689894539626, 0.0014013852517547436]","[0.0391487781890629, 0.0018122202913421405, 0.036275031638322255, 0.01076743240946883, 0.0016539474749278156]","[0.005570178600357453, 0.0066201692194082255, 0.003233386362654563, 0.004399165244580724, 0.004523854315702251]","[0.014165677717510055, 0.0036153267130322434, 0.003192779727638304, 0.0071740228064342566, 0.013259611477217265]"
IOTA,"[0.040010738963243385, 0.03777205238398535, 0.04435420935370754, 0.09646087107406376, 0.023711792135824854]","[0.008052979167583005, 0.002176643816935472, 0.02356826669456467, 0.002140767238217103, 0.002322911195303659]","[0.0026365318408882524, 0.002390759609345039, 0.008791128363037106, 0.03750809406944117, 0.01689686391307529]","[0.0025570165901840016, 0.01698448812009438, 0.00229572700689435, 0.003739863814368246, 0.021217875682818632]","[0.005775389202756966, 0.00939231568989985, 0.010198195838719518, 0.009425487292339524, 0.009803060324959126]","[0.01507250564922705, 0.004779550871342077, 0.01704045507718472, 0.01481128338809866, 0.007252329896315718]","[0.041609889583387634, 0.0242556342029058, 0.018596970188384226, 0.054560392086550315, 0.010844616029304638]"
NEO,"[3.3716080894187246, 21.27133948917674, 13.654205197144655, 24.647678157430104, 8.331371895939911]","[0.7997220320311271, 0.5610105824836933, 0.5003941158537673, 1.6941233950640064, 1.1253182891791575]","[0.5417978831107767, 0.5814011135215311, 0.19981630682206428, 2.0093287301362777, 0.16663524733251653]","[0.5709038456631933, 0.22599008964913977, 0.25988901399377495, 0.7075019435401808, 0.6270370020920218]","[0.22133288610857496, 0.1703015410091677, 0.6663139763367965, 0.5640096711536857, 0.34633574828447644]","[1.5731636721019724, 1.0849284300093145, 0.19952254526514607, 1.7142228618070599, 0.4983727965590556]","[7.633028258339462, 6.031813751548828, 3.1751284347319033, 12.357888354211125, 6.924341313552601]"
XTZ,"[1.1189757010070416, 1.1241509328504604, 2.28418374486017e+16, 11003089115.40573, 0.8109592607587076]","[0.03082294190792299, 0.06616702455757344, 0.018578667160952175, 0.030223563071197668, 0.017401718287737077]","[0.016348398721963815, 0.025377342484117688, 0.015967379913402757, 0.01747445089651419, 0.026654031314095522]","[0.05239588985078253, 0.04205700518252748, 0.035469357912239916, 0.08126619030434552, 0.02318312690716896]","[0.04583376521633368, 0.03971115139353142, 0.05305573771119835, 0.03651487514620763, 0.02684356138181696]","[0.050371556491954655, 0.16316053545659306, 0.10195120223474587, 0.14107684057317232, 0.020492908895366403]","[0.08772120693344246, 0.2714767386293546, 0.388118820212656, 0.6846118846739186, 0.6154107672971608]"
