,RandomForest,XGB,LightGBM,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
LTC,"[0.0015630826017764756, 0.003258864135493265, 0.00297816076887541, 0.002274900986539984, 0.0041427275247733234]","[0.0015363631423201737, 0.0033140109602703425, 0.0029142317805203617, 0.0022425780010048857, 0.004150984930743197]","[0.0015358158392491414, 0.0033128984917024287, 0.002914634783048412, 0.0022419350270620176, 0.004150636418916784]","[0.005206402123079416, 0.006519096569211554, 0.0054340058716848185, 0.005655216598520607, 0.006668574983931204]","[0.002809281794707124, 0.004305117824229087, 0.0035471273004694637, 0.0033145655412442124, 0.004822334579951673]","[0.0015351265377700327, 0.00331072869389977, 0.0029187854814978543, 0.0022353681832151897, 0.004153319357279628]","[0.0015634939798431478, 0.0033658797606156417, 0.0029311514300279433, 0.002230103963083589, 0.004201121812318031]","[0.001591302399154249, 0.0033630449589618903, 0.002916013282256359, 0.002288287439964246, 0.0041829143588514636]","[0.021160735613847848, 0.021929115309677217, 0.023064434751409128, 0.022547834860985824, 0.020798401986904493]","[0.003014599614887452, 0.00447633226672589, 0.003692256098894721, 0.0035032772719813363, 0.0049424442507411855]","[0.0015458691161087963, 0.003379653699989666, 0.0029570788782781582, 0.002235607215975713, 0.004158408421267884]","[0.0015491448042281408, 0.00327904264616861, 0.0029853389013615225, 0.002251433942996704, 0.004200016430627746]"
TRX,"[0.001182468942786371, 0.001342635370022505, 0.004491857905256935, 0.0016688597181533404, 0.0021032972013831333]","[0.0011663979970494053, 0.0013551039620552324, 0.004444891757059557, 0.001666304305578987, 0.002116620847774269]","[0.0011663310827663002, 0.0013548407753330438, 0.004445459880336541, 0.0016663803544591943, 0.002116337214114689]","[0.05582917802935876, 0.05586411076274639, 0.05569621204575671, 0.055826695553187866, 0.05591205999775473]","[0.0011722719098068038, 0.0013652071449318799, 0.004509570362107607, 0.0016970346221575924, 0.0021063064244921663]","[0.0011721964257125283, 0.0013581429070996381, 0.004540060478377985, 0.001648709297631887, 0.002119681282673815]","[0.0011691504151149835, 0.0013552260201193157, 0.004451666459051967, 0.0016694415846133137, 0.002115504303549023]","[0.0012440262547567733, 0.001430221285746562, 0.004557492327136821, 0.0017303863075143534, 0.002165249510532351]","[0.0017380688017386776, 0.0021044465143240224, 0.0044629456970553365, 0.0024127632556336666, 0.002592828812616319]","[0.0011748154631244236, 0.0013563819206368676, 0.004455187750186471, 0.0016731729016765404, 0.0021151866526126326]","[0.0011817442246028023, 0.0013668676542426192, 0.004997127530939437, 0.0017312102688455914, 0.002144125305892178]","[0.0011784828218186173, 0.0013345308893236631, 0.00482451828770479, 0.0016680404971600078, 0.0021296200327016596]"
ATOM,"[0.001524640346927648, 0.0021243963914704, 0.00294015161299634, 0.0024238456915920865, 0.004018653544770482]","[0.001509868570356923, 0.0020619953915064606, 0.002909468512313227, 0.0025089118120390002, 0.0040771695148376814]","[0.0015063680122056793, 0.002056099380863245, 0.0029072857102734966, 0.0024997460338457437, 0.004072485445806459]","[0.014243316035388061, 0.014437134342949609, 0.014502879220061746, 0.014696395171598969, 0.014996443800020649]","[0.0016601753660098403, 0.0022114298421271614, 0.00299479782408556, 0.0026817051359487973, 0.004174753865359497]","[0.0030285855588237463, 0.00344855501503994, 0.003928030129566384, 0.003888341311763548, 0.004995645481259877]","[0.0015321143977442095, 0.002089577123111316, 0.002922154110305518, 0.0025494513854049496, 0.004092651899642109]","[0.0014992175069559954, 0.002044068183765056, 0.0029151283739513112, 0.002484962729163393, 0.004072526583314116]","[0.010812832193443802, 0.010038356813644941, 0.010395965149978578, 0.009153700100592401, 0.012352703397162311]","[0.00167815398096338, 0.0021292194704646264, 0.0029887214356163426, 0.0024870413449451147, 0.004082511094050372]","[0.0015050026218212907, 0.0020439205061700194, 0.0029715434797438125, 0.0024845109468395023, 0.004064901385626547]","[0.0015099322176148524, 0.0020596931756191156, 0.0029503847231392034, 0.0025010829671230734, 0.0040716707489191675]"
XMR,"[0.001420194245600021, 0.002437882344704303, 0.002226487078889899, 0.001940907126807199, 0.002364202891613116]","[0.0014230418213585345, 0.002284658219659414, 0.0021524038741037705, 0.0017185760941363407, 0.0022534589314231724]","[0.0014221319044173373, 0.0022847344355643264, 0.0021521455706050136, 0.001717833154239148, 0.0022536158236162182]","[0.043725092669326976, 0.04367951251693122, 0.043710684890665596, 0.0437401512253442, 0.043659705439640144]","[0.001369753211540473, 0.0024506966802343108, 0.0021510750961622888, 0.0016915303090941707, 0.002332779523503276]","[0.0014165343069286994, 0.002334912022174164, 0.002144028677727924, 0.0017124662807538986, 0.0022652049814236587]","[0.0014238577895311693, 0.0022948687854165554, 0.0021562702480527234, 0.001718415649198311, 0.0022620691863637155]","[0.0014189198735686738, 0.0023555976199984056, 0.002158228155195294, 0.0017279290902268826, 0.0022852445154670337]","[0.002342892674622975, 0.0036503407464985992, 0.003779080948302414, 0.003252499846018637, 0.0034433037927130445]","[0.003469504855846158, 0.003968094397201414, 0.0038616029884915985, 0.003602189209868755, 0.003958839483258473]","[0.0013925163372670174, 0.0023322847736053907, 0.002155331570961386, 0.0017191396529732618, 0.0022704305508497793]","[0.0014202608569171158, 0.00231261789635772, 0.0021533338922784975, 0.0017091730853276569, 0.0023056732071905614]"
VET,"[0.002177853553906591, 0.002385055648032287, 0.002661979388757197, 0.0025662208970861295, 0.0034377894772841867]","[0.0021810510153704005, 0.0023580273888896995, 0.002673703201652644, 0.002500198821979107, 0.003334131821512051]","[0.0021808642945851412, 0.0023610890910435367, 0.002670608477567828, 0.0025025977802185704, 0.0033350635950734186]","[0.002607368141864153, 0.0026866648122708344, 0.003108714586229912, 0.0028262708203854437, 0.003648909023299069]","[0.002190426307596258, 0.0023954134812511634, 0.002675339970997555, 0.002502957406429843, 0.003352609676524636]","[0.0022232930472943523, 0.002421216443655905, 0.0027141378734637394, 0.0025051173114647232, 0.0034057610194335314]","[0.0022718666563479387, 0.002451114992337105, 0.002795679936231793, 0.0025165762421064677, 0.003470044648697597]","[0.002987036112437591, 0.0031964855993207543, 0.003328080446378265, 0.0033568716559427185, 0.004045754613214073]","[0.005092206634523666, 0.004824953861779735, 0.005211908928632018, 0.004437462825652699, 0.005043806524583698]","[0.0022408063898261958, 0.0024063162682894956, 0.0028462915310417617, 0.0026284550203695815, 0.0034374385428947813]","[0.0022539659935693407, 0.0023941626521447146, 0.0026831083861532192, 0.0024854171799572923, 0.0033363519509219375]","[0.0021946029791616813, 0.0023509384561381384, 0.0027047860728286223, 0.00252119668682029, 0.0033719954121398618]"
ALGO,"[0.0020703975301549853, 0.0024233928157235173, 0.00296980608653806, 0.0026266024834998465, 0.0036228158817968436]","[0.002058987075894945, 0.002402207702677423, 0.0029159286485760643, 0.0025975022026121963, 0.0036634249296094113]","[0.002056856471779538, 0.0024039234684419255, 0.002913178558224933, 0.002598048404480558, 0.0036648231803388677]","[0.08553477145968437, 0.08565693015852026, 0.08562798275241842, 0.08551852076915066, 0.08570934064122297]","[0.00204798269258374, 0.0024217857238928993, 0.0028961259964461537, 0.0026104286034883246, 0.0037105589465389038]","[0.002107305102736957, 0.0024008419269956373, 0.0029649999907956177, 0.002609129578607566, 0.0036590389682354726]","[0.00207648520197735, 0.002397959450651199, 0.0029373091677615077, 0.0025915027172154024, 0.003664637054231914]","[0.0020770623774344138, 0.0025180168246694084, 0.0029056802377187695, 0.0026738037321154258, 0.0037065970569770414]","[0.09522801477800442, 0.0982757595452365, 0.06309241821571923, 0.057084590914615076, 0.08517623107851077]","[0.008633798341564695, 0.009064459545755056, 0.008731280993616338, 0.009012589658053325, 0.009520455349395416]","[0.002058220373004467, 0.002428385685825617, 0.0029825144808871976, 0.0025981911263153325, 0.0036808382780475837]","[0.002065691018568382, 0.002410401318288279, 0.0029300914296604614, 0.0026019387874567615, 0.003686200578832202]"
EOS,"[0.0023492342084929165, 0.002720519147976853, 0.0028203354405334355, 0.004124193117233925, 0.0036043534270159905]","[0.00232020065435444, 0.002591611379121895, 0.002817802988861156, 0.0040791429555429035, 0.0035450068370087343]","[0.0023202223288255664, 0.0025915915425979807, 0.00281782495143719, 0.0040791251974096245, 0.0035450202021429563]","[0.0024567069708576667, 0.0026289934095624526, 0.002931252762993958, 0.004091019656099197, 0.0036351643938421436]","[0.002614561222261375, 0.0027229365635010115, 0.0030632742440542056, 0.004108919706974255, 0.003738210305673028]","[0.0024388919549290606, 0.0026177134505144107, 0.0029192025118293156, 0.004078783371316028, 0.0036214756040173126]","[0.0023580568365996115, 0.0025769221595598113, 0.0028179902966339707, 0.0040389602208542735, 0.0035622360709551583]","[0.00234355031523826, 0.002591141683704389, 0.002799148830501785, 0.00406895381113106, 0.003557156870907631]","[0.0050712073276387055, 0.004553111996197435, 0.004078450153096767, 0.005625486527967029, 0.0055995092312459555]","[0.006320713707548274, 0.006815421962979463, 0.00644316715065091, 0.007755778613467247, 0.006921958499517443]","[0.002321456410178767, 0.0026155633044809986, 0.0028151460511606713, 0.004068370054065053, 0.003601579768298735]","[0.0023280433631452657, 0.0026041673669272014, 0.0028411117787368032, 0.004116684788378565, 0.003582835541096125]"
CHZ,"[0.004351278568205473, 0.0028931076250273352, 0.003589860471606001, 0.00258749249732763, 0.0035585941957395253]","[0.004183538980228683, 0.0028877159521553935, 0.003587438496276745, 0.0025733794684520716, 0.0035408588984727684]","[0.004174755076662827, 0.0028839530196359867, 0.0035808242458495623, 0.002568856492786269, 0.0035381017610587777]","[0.008763109008525618, 0.008696147536754843, 0.008742628167954708, 0.008581778573932983, 0.00894187889773993]","[0.004154816672735331, 0.002872589914826692, 0.0036054778470471093, 0.0025592731934617266, 0.0035562806417377096]","[0.004225967263664171, 0.0029021248595066437, 0.0036286144694270862, 0.00258323155281521, 0.003547946430381784]","[0.004111762198588978, 0.002889843171626478, 0.003563126709480603, 0.0025605288793764712, 0.003543401228189592]","[0.006024564365731164, 0.004915471410323691, 0.00547277472897994, 0.004742794407969882, 0.005366022232607467]","[0.005910786204614515, 0.006164044053000901, 0.005880263897340833, 0.005569040953958911, 0.006426106651652951]","[0.0042763978140224505, 0.00339686053720588, 0.003855926616725766, 0.0031222708039153734, 0.003979932401163786]","[0.0041247800386530874, 0.0028738379351795572, 0.00355790976711812, 0.0025557661751447235, 0.003536404338040241]","[0.004184006020261065, 0.0028883113559075384, 0.003537324368745028, 0.002593154029668336, 0.003552102963734195]"
IOTA,"[0.0027963445476805494, 0.002528467772207479, 0.003064589908050151, 0.0029125662813674984, 0.0034751203357330602]","[0.0026480430438238257, 0.0024260476593307703, 0.002943194370850586, 0.0026215277416192714, 0.003325306457754029]","[0.0026443547667945287, 0.00242544862320152, 0.002939339883047712, 0.002621121491004149, 0.0033249780731872897]","[0.00341628485670727, 0.0033732563495203036, 0.0035544428225752957, 0.003641097661841527, 0.004155690717827034]","[0.0026410870712905996, 0.0024518764091528986, 0.0029072865270515134, 0.002660515042328622, 0.003344260468390226]","[0.003285341119315644, 0.002964715027756073, 0.003551045949390048, 0.0031201821545197104, 0.0037314089453706232]","[0.0034147825125401877, 0.0030871866657609564, 0.003672470153672298, 0.003217048144952579, 0.0038114474722120814]","[0.002733460493998904, 0.0024919998812877064, 0.0030440763861497894, 0.0026941560034313707, 0.003334124690689373]","[0.0043190559165244245, 0.0038788141919873175, 0.004622267637306388, 0.003931767213432216, 0.004505699750947679]","[0.004900671919450422, 0.004565687395899142, 0.0051042732422256305, 0.0046622360861085805, 0.005091039102019712]","[0.002646031775324007, 0.0023669508946659577, 0.0029228001985804972, 0.00265040554281905, 0.0033626465628612367]","[0.0026579471483378337, 0.0024412852342009504, 0.0029287460944352633, 0.002657256858741886, 0.003364332215273637]"
NEO,"[0.0024453648114095314, 0.002967712875187878, 0.004621600899223693, 0.0023176471092452248, 0.004082962520981425]","[0.0024434170269588057, 0.0029549992207713966, 0.004107409866331737, 0.002319113650260886, 0.0039704896754055126]","[0.002583644250973336, 0.0030353396108309663, 0.004122427583742071, 0.0025072129825550395, 0.003977695481089676]","[0.02555530401729846, 0.025835308094446053, 0.02576158121960573, 0.025726152187168495, 0.02606864346002887]","[0.002564458755332177, 0.0031371034510792573, 0.00417184008440583, 0.0025335589962371223, 0.0041330734535417555]","[0.0038282909106718043, 0.003995835102843407, 0.005076668515892749, 0.0035817182933289716, 0.004737489350392829]","[0.002434237001014326, 0.002983308497373163, 0.004084725483420151, 0.002318397657400216, 0.003952841285076663]","[0.0024918072454245973, 0.0029354859641946484, 0.004133378596791438, 0.00232305075104477, 0.004004117267599601]","[0.009195781226947858, 0.00904584845018195, 0.009920053591962515, 0.007662706101008426, 0.008315979837915584]","[0.003078482059151782, 0.0036426155732386684, 0.004502922575491775, 0.0031285071636584245, 0.004561940065188003]","[0.0024335434300943692, 0.0029574652300881233, 0.004129376139577219, 0.0023211164202392963, 0.003987619880596222]","[0.0024504598395748687, 0.0029805242450960615, 0.004187091392171184, 0.0022967463169294385, 0.003983554950030596]"
XTZ,"[0.0018939974543494872, 0.003154982452439208, 0.002910508480402665, 0.0024444872452397334, 0.0033680071221267134]","[0.0018360119522814555, 0.0030609254574549883, 0.0028286217339962274, 0.0024030383794543656, 0.003205392387768606]","[0.0018358439245190652, 0.0030599389124570183, 0.002829427311814172, 0.0024019829708255536, 0.0032039353709343936]","[0.10628458598172592, 0.10648992885208745, 0.1061062688383059, 0.10646791720829259, 0.10660527622047479]","[0.0019037054986765017, 0.0030737592189208074, 0.0028842203919856335, 0.002392910684202294, 0.0032373307894558315]","[0.0018577121259009044, 0.0030615671761492886, 0.0028573310049446613, 0.0023931546528456215, 0.0031924581362789283]","[0.0018663925099942605, 0.0030551800224053183, 0.002868852216983116, 0.002386964089543128, 0.003198915720665265]","[0.0020340327463125424, 0.003243578096127143, 0.0029119940441111832, 0.0025879098151425045, 0.0033732352904404348]","[0.026230420022595863, 0.021338547080294014, 0.023580144595573484, 0.02305356022202249, 0.02932054836360429]","[0.008074585553453738, 0.008586280909419451, 0.008203729925534184, 0.008358149941148089, 0.008738896322556871]","[0.0018901969970738072, 0.003061200186544943, 0.0028378338459336644, 0.0024014439944047535, 0.0032226501087720513]","[0.001854350387668826, 0.0030960362100216506, 0.0028395748662890814, 0.0024181256258359054, 0.003194813498155053]"
