,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
LTC,"[0.0043828854170356885, 0.011069843565298812, 0.036484922555317635, 0.008411529413141121, 0.004343288710649888]","[0.0041881126873121975, 0.004162717813550768, 0.004402548320555949, 0.004148675825168143, 0.005340616970916489]","[0.004185896973516795, 0.0041878236202593936, 0.004158100527849015, 0.004144687786663278, 0.00415478642273018]","[0.004174333788946716, 0.004234476596986132, 0.0041722803552754146, 0.004182331363305582, 0.004185804528322083]","[0.004214984129649314, 0.0041605972067945965, 0.004319649473183619, 0.004635849507489615, 0.004540543027171009]","[0.005183011064147665, 0.004362188589151289, 0.004882303270045759, 0.004452897167285274, 0.005540151919119838]","[0.0044112737466640035, 0.00477878955135571, 0.0061299039039163, 0.0042312497006311645, 0.007877254428614118]"
TRX,"[0.009134110629830411, 0.0205890781386551, 0.024827360546752792, 0.03670275816622279, 0.0721118229684656]","[0.002153699919375779, 0.002175478790765161, 0.002163742273413183, 0.0021477193202678003, 0.0021675329141943966]","[0.0022522945025456684, 0.002125863369685814, 0.002131461190901437, 0.002121895337243687, 0.002125320338301596]","[0.0021199743901276413, 0.0021203944913015626, 0.0021192254269735518, 0.0021215476186619347, 0.002156149445504901]","[0.00216087790949173, 0.002193676882434719, 0.0023299407412256216, 0.0021730176151716807, 0.0021344577005731366]","[0.0027171151233382493, 0.012161610517493645, 0.0030611754542373445, 0.007361991779902417, 0.004090073609472657]","[0.005950884535413673, 0.008746941736651836, 0.010051600584204904, 0.002914597720622433, 0.0022293202502645017]"
ATOM,"[0.020357732577045515, 0.01533655525440044, 0.023649650412435597, 0.010942785956916197, 0.011796362976200297]","[0.004091426326085672, 0.004073482568184187, 0.004167522894580016, 0.004085498974641008, 0.004531361500691136]","[0.0041784567928333, 0.004061564753927997, 0.004214929491397243, 0.004081314183729792, 0.0040794971477793335]","[0.004240006259611955, 0.004069977495609721, 0.004046771790543185, 0.004064657049305924, 0.0040592900912110015]","[0.00406042389930431, 0.004059719176237454, 0.0040684190110640145, 0.0041919246087132895, 0.004070736906753535]","[0.01257022823770062, 0.0054998797005641475, 0.006965820213150822, 0.010191346264357491, 0.012227927205139348]","[0.004053705695373952, 0.004122287767986567, 0.004571697660657148, 0.004067014238361126, 0.004112597431156424]"
XMR,"[0.004904575556836119, 0.012311552502118859, 0.002995961287198034, 0.0042166965393147186, 0.06731455922783049]","[0.0022795852565699348, 0.002253606940656798, 0.002254348340868311, 0.002253047223018349, 0.002275748873688488]","[0.0022576699614792364, 0.002252444637222015, 0.002252669741531534, 0.002271181902257689, 0.0022544519421807433]","[0.0023206270037892827, 0.0023017055996579464, 0.002372037343892345, 0.002259932780120668, 0.0022937262933790544]","[0.0022628870912401716, 0.002256803413889636, 0.002253690279040099, 0.0023223276948348675, 0.0022526895853693164]","[0.015009413756601836, 0.0029452554750283443, 0.0027161844851447793, 0.002892985967700532, 0.0031721816160570158]","[0.0025127655151002378, 0.0038310109067000242, 0.005046275547254157, 0.0026953024762484544, 0.007193151828028968]"
VET,"[0.01449898799815144, 0.027752702276251175, 0.004553542362248025, 0.024766388071515492, 0.013718405434403448]","[0.003377049255101889, 0.0038877136010222026, 0.0033549229449540315, 0.0033353172466017863, 0.0033397170044225113]","[0.0033671374683841436, 0.00334161948108325, 0.0033416421065875987, 0.0033933114355337098, 0.0033370002434921454]","[0.0033720722289720096, 0.0034476742359243868, 0.003388267518620654, 0.0033343788218015698, 0.0033372817540362055]","[0.0035030024279350397, 0.004725355875706333, 0.003335689727301989, 0.003766102680776327, 0.0033460685036150956]","[0.004686487780148005, 0.006063575939820203, 0.0046246922470141475, 0.00422305193013453, 0.0061208515350857215]","[0.004376995576450767, 0.004321613960926373, 0.01491667758809228, 0.0045112109085318, 0.005058766067727232]"
ALGO,"[0.08543450849883583, 0.440479229291661, 57.10126850565867, 0.24341929000654064, 0.5865060665248407]","[0.0036989834821718323, 0.0037374929391285924, 0.0037551914971399474, 0.0036936588975250485, 0.0037191146856256616]","[0.003708244771542927, 0.003711071771884015, 0.0036949019076243763, 0.0036988563458954, 0.0037230657274291393]","[0.0036859927903803453, 0.0037254212098855616, 0.0036662906049779458, 0.004121993515526467, 0.003668062094354286]","[0.003746244900503358, 0.003675976287805278, 0.003717447293721815, 0.003716487895695783, 0.003689899748331646]","[0.004790535009086043, 0.004725553428935746, 0.004414577289965882, 0.005766690077272408, 0.007064908702216975]","[0.0037627186487893772, 0.022267704435798556, 0.02166393455557377, 0.01904719835997653, 0.007279675532935548]"
EOS,"[0.004172012577120781, 0.0035511667626291206, 0.0036229676554088847, 0.00356570122273584, 0.0036696660664975755]","[0.0035549209289459623, 0.0035566984032696543, 0.003555620898541172, 0.0035752007375432523, 0.0036058342424929524]","[0.0035709071320754863, 0.0036524838375308452, 0.003548948162374064, 0.0036077329370542434, 0.003654741021324051]","[0.0035672878778214663, 0.0035703432532181688, 0.0035563342769535356, 0.003555420885361146, 0.0035897505867824946]","[0.0035622948759535724, 0.003583083090299377, 0.0035776009945009896, 0.00376112929091876, 0.0036677529415158967]","[0.0047073542163966475, 0.004787757564089716, 0.004495246512272585, 0.00433639075127489, 0.021447386967096957]","[0.004407925294786507, 0.016690848911718518, 0.01618497895273068, 0.02589499086986096, 0.018637023986926477]"
CHZ,"[0.013591198218368182, 0.007148060526963059, 0.030095418865515124, 0.007967458789703811, 0.004009118020233435]","[0.0035607515064634055, 0.0035763744956878287, 0.0035636568311460987, 0.0035698937104318997, 0.0035814733850943734]","[0.003532125818404478, 0.003531930823548058, 0.0035339413167060226, 0.003536487638993869, 0.003595881865630008]","[0.0035396801510925485, 0.0035292004865657015, 0.0035292165487873736, 0.0035401492878876758, 0.003535428465879031]","[0.005011527292946717, 0.003534627247919368, 0.004858459996690421, 0.003691232603256313, 0.003536773985871213]","[0.004996554678807714, 0.0059068978934897955, 0.00521721060929694, 0.0051384106044424956, 0.004174603365008956]","[0.0038231118025895522, 0.0035402948969274705, 0.0035564372878165553, 0.0036272188767157046, 0.0037822933681099444]"
IOTA,"[0.004407205794409646, 0.00418741051631493, 0.00444011381677359, 0.009316857225865222, 0.0036719517846092883]","[0.0033601366789213997, 0.003359173442266447, 0.0036515635287186574, 0.0033586361479399016, 0.003352104754813233]","[0.0033300621540542524, 0.003327284376865831, 0.0033509566708646533, 0.004142184891217458, 0.0034619074122706323]","[0.0033314682426913364, 0.003506090010783661, 0.00336628434659809, 0.0033675231387009803, 0.003607027677739768]","[0.003369755874728645, 0.0033964793121523977, 0.003409176857580967, 0.0034097764351540814, 0.003394129553422884]","[0.004780298228406637, 0.00435549257328926, 0.004067548905622342, 0.004506452442491324, 0.00458733370896221]","[0.004102002107986893, 0.003639378239536684, 0.0034962859227134625, 0.005116550893174104, 0.0033708266999218006]"
NEO,"[0.0058791278007039255, 0.012834612452893987, 0.010132110195601882, 0.013833147848226568, 0.018172979018787092]","[0.00407802876627192, 0.003976466958519916, 0.003968949465929622, 0.00436597391647674, 0.00410432856331031]","[0.003986823041400273, 0.003991946592799946, 0.003966622116254378, 0.004504421654281215, 0.0039690946418108435]","[0.003974602641919116, 0.003963957033575113, 0.0039453009873859956, 0.003993423443165349, 0.003981285265807007]","[0.003953743234575394, 0.003958235974410022, 0.004059993964686158, 0.003973962416012602, 0.003950655788408007]","[0.00963397792216604, 0.008600892477249206, 0.005197444909168272, 0.006790863429396568, 0.008855591663002742]","[0.01520006680636502, 0.010438645117107277, 0.005593036295285428, 0.009594998687370338, 0.007031957738119277]"
XTZ,"[0.24216417762462936, 0.29619752314090186, 0.3190777975041942, 0.20033424258178528, 0.021954189126579263]","[0.003269551526237101, 0.0033468943701782834, 0.003236679359163545, 0.0032475528682633886, 0.0032238535139515506]","[0.003196085547728508, 0.003196778783621218, 0.0031934476950629662, 0.003198899849004283, 0.0031978222728467156]","[0.0032423402476893467, 0.003220243382627744, 0.0032072804781612288, 0.003320631938970208, 0.003196527814861582]","[0.0032435718036553235, 0.003216779821342939, 0.0032383214604759947, 0.0032159857331908025, 0.003197367419136166]","[0.005302291669281283, 0.006337782207411508, 0.005800740743200339, 0.009477864784389072, 0.008052088388624255]","[0.003360173436735224, 0.004964913506773528, 0.00680158179235889, 0.006951305724054907, 0.006540922805065242]"
