,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
LTC,"[0.015709707543494166, 0.032164432638837184, 0.03537981105448947, 0.014344345175371257, 0.011879153081239005]","[0.01176392110267808, 0.011827268228276483, 0.011876566121954637, 0.011870103322882682, 0.011886710960228506]","[0.011709785196449326, 0.0118770840269614, 0.012019347295449252, 0.011978000524361524, 0.011854982018047628]","[0.011804924198344282, 0.01189106476055594, 0.011874405118337998, 0.011864119733013413, 0.012556399141770801]","[0.011685426355049553, 0.011918405651493538, 0.011920437539644502, 0.012171551046169448, 0.011927765041090421]","[0.02236854222065073, 0.02405573859263568, 0.02457699152958071, 0.02027357667181098, 0.025554876792533994]","[0.01409625961816344, 0.012609611568460568, 0.014100651245443517, 0.013040036378890623, 0.012403874588215272]"
TRX,"[0.013958531263955062, 0.009116515097108233, 0.02229235198740426, 0.011473331110799253, 0.01886086365378583]","[0.0071880794110218416, 0.007275202406104735, 0.007333743766116867, 0.007283250113066908, 0.007202604604377433]","[0.007194818440727002, 0.007255610198588928, 0.007242066733297281, 0.007231967842794414, 0.007232027832117663]","[0.007147670161077273, 0.007251233379024074, 0.007241183073901341, 0.00728897008549457, 0.007312637910544737]","[0.007364218620986544, 0.0075087982117939866, 0.008405557027049643, 0.008061832098383034, 0.00729197567151709]","[0.013232867997438188, 0.01230185839119359, 0.060588776469294295, 0.015085499771117915, 0.015271429954288958]","[0.007303604452544329, 0.008694783090716548, 0.007997021348946263, 0.020957136872532537, 0.020889997477375577]"
ATOM,"[0.04130919547382173, 0.2176502623346683, 0.04660487883170325, 0.1642602037260804, 0.08689747899398476]","[0.010946136967400611, 0.010882739888766008, 0.010900379461944928, 0.010914032769062759, 0.010879808989841828]","[0.012982796238478995, 0.0110506088547766, 0.013189549194517534, 0.010866551435736978, 0.01183301766224326]","[0.011026610311086352, 0.010857982133250925, 0.01089262212443276, 0.010872383260271875, 0.012800032394555424]","[0.01104458070645339, 0.010884238502728395, 0.010907812229889284, 0.01104393032240229, 0.010887855901311616]","[0.01956918019038806, 0.044074410494092296, 0.01913460490563061, 0.02048320955577552, 0.018559050383769024]","[0.013976191623067982, 0.01618565670247104, 0.017547435269931553, 0.011436661128070593, 0.03445353256626246]"
XMR,"[0.011264426624390766, 0.04091929865794978, 0.022675978434412533, 0.01630975030919128, 0.011948229187537516]","[0.00949941207959995, 0.00948904680277836, 0.009439773431872881, 0.009466664108637892, 0.009479427809928241]","[0.009413759431766243, 0.00942359496824782, 0.009482341168484041, 0.009494393825185478, 0.009498522191121715]","[0.009459269175724584, 0.00946498688504183, 0.009447841688121177, 0.010428074312448259, 0.010285989762172957]","[0.009877487496325204, 0.009605503173048296, 0.00945914288122557, 0.009551072622542161, 0.010203589309540762]","[0.016919967039981245, 0.01659920674099577, 0.017130305568603222, 0.016007875380487896, 0.01240815111335037]","[0.009753106947340322, 0.010171776738940706, 0.011635955968316574, 0.011946211439538564, 0.010790429761993797]"
VET,"[0.06930747398363496, 0.023739871675206206, 0.017060248192901275, 0.014233845839654579, 0.016516621404529957]","[0.009968871575813191, 0.009936408963578348, 0.010604606387666336, 0.00995149218241711, 0.00993508258119099]","[0.00998307597806687, 0.010333270203221792, 0.009928555585519562, 0.009928020910475814, 0.00998554755007816]","[0.009966553536354813, 0.009947327312541073, 0.00993053339367975, 0.009931357876245658, 0.009944711952996187]","[0.010103219851894113, 0.010295598074799699, 0.010882893984911839, 0.009931363082373346, 0.010693578102942873]","[0.02088288783444202, 0.019321533345632746, 0.02323374199175472, 0.018510415128558135, 0.021571228329500813]","[0.010457955822838563, 0.010171916755191282, 0.010360009173237502, 0.011034142951247501, 0.010854427340674228]"
ALGO,"[0.01843578063876366, 0.0130438447071208, 0.014179598085090247, 0.02963757875294789, 0.03742461447437024]","[0.013533148393917277, 0.01293008743544672, 0.012833623969371228, 0.013075543348414416, 0.012962254318651618]","[0.01325894358176437, 0.012925449604203634, 0.012864444800462761, 0.012848829427505263, 0.012962408452829451]","[0.013974783269026488, 0.012972267745200718, 0.0130595353497748, 0.012952810098935924, 0.013010698429935453]","[0.013149208589940098, 0.012804692988826364, 0.012843668466989415, 0.014461976055687305, 0.013440239651424657]","[0.02382444677898391, 0.01922348641109647, 0.026390696505037472, 0.03981177807310144, 0.036723176379830164]","[0.013987746432112593, 0.012874419682306647, 0.012849064979173916, 0.012827937961096901, 0.012916174050371093]"
EOS,"[0.018911212361445835, 0.01826953071918511, 0.013225947501728346, 0.015632881790872466, 0.01781317275665455]","[0.011684918103683235, 0.011768423323766559, 0.011792202047615255, 0.011755881764890962, 0.011818421361583406]","[0.011682580619178668, 0.011744625283499838, 0.011729182808487533, 0.01172142022825482, 0.01172441686844539]","[0.011755347873697076, 0.011727018018889169, 0.011659533595058051, 0.011672996831300686, 0.011666805891277464]","[0.011654637043413312, 0.012658148959705995, 0.011918556290320799, 0.012958354667959878, 0.011752588778046238]","[0.017539506844159173, 0.06078164310953773, 0.020559804312677406, 0.018683382684465583, 0.019960599593181232]","[0.012163591196379634, 0.01217990901348106, 0.01265614288477222, 0.012335856291361033, 0.011770944209809083]"
CHZ,"[0.06797263435041895, 0.01487577964297887, 0.036352368583517494, 0.03238424427122795, 0.09072931937155379]","[0.013945441538305688, 0.013976280599953757, 0.013987610915156073, 0.013969743706823148, 0.014024287220526762]","[0.014052552019326823, 0.014001263120021635, 0.014501593962110093, 0.014515197641159314, 0.013968081776467998]","[0.014087633087684143, 0.01403126682643153, 0.014088647776286935, 0.01394722247863373, 0.0142268576283026]","[0.013971320512926665, 0.014398906087357513, 0.01400581922630508, 0.013954821843271749, 0.013992734776199287]","[0.02663558182997912, 0.028994210459599358, 0.024074565602548392, 0.0267311156300793, 0.033675413125543716]","[0.014057726395304537, 0.014045357546795135, 0.014052114176655063, 0.014315652936463363, 0.017077330739178474]"
IOTA,"[0.013920335164239229, 0.012673198256019542, 0.012173708470793592, 0.018628859878952415, 0.012052145386730963]","[0.012011615248969992, 0.011991838523123681, 0.011991166395738802, 0.012003951155585758, 0.012119919613067902]","[0.012042327736524288, 0.011984695063469135, 0.011989076690640628, 0.013218446052206935, 0.027053766104749435]","[0.011987645698120627, 0.01212429329327821, 0.011979264796695796, 0.01201860224796606, 0.011990852175903583]","[0.01199080505519373, 0.01202046357146014, 0.012140571838985176, 0.012004428998384088, 0.012925803399648734]","[0.020373876437392344, 0.020277460709664158, 0.021460610367401906, 0.021142355423637075, 0.024220273053250713]","[0.026254317702784986, 0.01852008943839069, 0.01362647489210058, 0.012275446676160632, 0.012078822831015973]"
NEO,"[0.09072283877917625, 0.1320504388455614, 0.016760672324511467, 0.06734302295521906, 0.07529783880522248]","[0.014403899346387552, 0.014225114374899336, 0.01422372380109072, 0.014305974162942148, 0.014286715955958216]","[0.014309860078155021, 0.014283164128607145, 0.014300841508488458, 0.014351370998985934, 0.014343803705232047]","[0.01562828184489665, 0.01562063892446592, 0.015768642296445808, 0.01449417239270379, 0.014611459827403804]","[0.014205231554629412, 0.014238262192515085, 0.014265868501667129, 0.014787709720527396, 0.01437856792571831]","[0.024676795184756566, 0.028909839053561755, 0.0279211935199698, 0.025998399604609094, 0.03460398706340497]","[0.014402093999391768, 0.018296773952017967, 0.015027978370203372, 0.014437867667288272, 0.015464110546430772]"
XTZ,"[0.23141161999948548, 0.09061804088909911, 0.2827189790994949, 0.46303589822843094, 0.07746266059046877]","[0.010279740635004177, 0.010280429393009221, 0.010285279031772926, 0.010332002691274654, 0.010264968931920396]","[0.010280386203102647, 0.010299768568545956, 0.010358079410730367, 0.010287922166212637, 0.0102802443608823]","[0.010411369480897758, 0.010295603192520321, 0.010323532468333506, 0.010477193240845702, 0.011371923412529747]","[0.010425276213757549, 0.010715292117396085, 0.011104745074850209, 0.01539913664936077, 0.010757911286409103]","[0.018169681835291895, 0.016447585608080535, 0.020495742525174505, 0.02074064488886761, 0.021281514408560707]","[0.01041534439907144, 0.010493489686407578, 0.010278198966709211, 0.010507585117567858, 0.01027909107019981]"
