date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,usdt_vol,log returns,volatility
2021-04-22,1.211,1.3251,1.1269,1.1618,60031368.84,1619135999999,74869115.97187500,188538,29017174.42000000,36265629.10651200,0,69744444.318312,-0.040980356915714,0.3712409524425815
2021-04-23,1.1618,1.1945,0.913,1.1667,84882770.11,1619222399999,91667441.11577900,217381,41238283.23000000,44538958.13974600,0,99032727.887337,0.004208724271379277,0.36212855474761885
2021-04-24,1.1667,1.1713,1.077,1.0884,27297319.92,1619308799999,30661000.19122000,101046,12732910.50000000,14300783.05353300,0,29710403.000928003,-0.0694705229207201,0.36933114789248495
2021-04-25,1.0884,1.1932,1.0478,1.0939,26813606.24,1619395199999,30320649.56030100,95950,14309772.19000000,16206763.94569800,0,29331403.865936,0.005040564216653956,0.36261100337202634
2021-04-26,1.0946,1.2484,1.0823,1.2364,43331058.96,1619481599999,51523875.36802900,174813,22646666.60000000,26919823.73009400,0,53574521.298144,0.12245463913221599,0.3813723462920556
2021-04-27,1.2359,1.3325,1.2226,1.3097,41846178.55,1619567999999,53150743.29832600,160906,22391934.61000000,28441909.87314200,0,54805940.046935,0.05759417207739609,0.3804783834067909
2021-04-28,1.3093,1.3364,1.2093,1.288,32658509.67,1619654399999,41590572.97542000,144064,16706030.54000000,21275644.63424300,0,42064160.45496,-0.016707475671058347,0.35830976629839756
2021-04-29,1.2888,1.382,1.2424,1.3222,43686975.83,1619740799999,57410579.62395000,186178,22710959.33000000,29857416.39271900,0,57762919.442425996,0.026206388235178846,0.35497482589206986
2021-04-30,1.3222,1.4461,1.2947,1.4029,44385214.4,1619827199999,61696167.75679400,207868,24170816.37000000,33590000.15290000,0,62268017.28176,0.059244506825248844,0.3586042158065622
2021-05-01,1.4029,1.42,1.3477,1.3934,26941499.74,1619913599999,37409497.03967200,128531,14860502.45000000,20643566.61616700,0,37540285.737716,-0.006794719128708104,0.35693337593862917
2021-05-02,1.3933,1.4135,1.3205,1.3877,28935955.19,1619999999999,39709252.45000700,147698,15254832.36000000,20978144.35438600,0,40154425.017163,-0.004099103219053768,0.3559420148165356
