,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
LTC,"[-33.67097369348808, -2653.6768887074254, -8.698683772186607, -15917049.273094406, -659.0625122393769]","[83.13018304280624, 84.25599161145895, 36.28952527481323, -108.33292106754133, -274.1491464976522]","[80.51244175105894, 86.76221153067186, 60.96811380925211, -132.4315158223761, -171.0436115737262]","[57.685523467230404, 69.02878189557077, 59.574692389075345, -195.3742150886323, -129.99668957249412]","[83.64146531955059, 84.95575471914317, 75.30657185596013, -199.8867414776688, -215.73611856015197]","[55.726919056211024, 70.39394931553973, 57.771121460942695, -394.6697543513621, -153.25480200983452]","[27.219711054905144, 35.39242428187303, -465.1980644603752, -566.3083006199828, -42.75153284351591]"
TRX,"[-14704.342805427823, -16998.890993498364, -555.6279179528982, -9172.904503096024, -353.02456444661937]","[74.84515204547456, 78.6228189035617, -24.165502718715857, -21.41960680367818, 8.165241103648052]","[56.83736109340055, 85.65455535458443, 2.416830373261985, 15.309853936626935, -60.88878806599646]","[85.99388855976532, 81.59225324922679, -25.388887029182406, -27.12914757094311, -22.987731638965023]","[84.80216957075835, -8.893830113978836, -116.05662752870572, -7.653569592316433, -106.61625392033302]","[68.67375438940306, 7.127104371530356, -165.0588471261786, -389.55527926724176, 1.344069372638127]","[-52.55492640552718, -485.0715027947997, -14421.171555984356, -191.71622825574332, -241.0249581762004]"
ATOM,"[-186.8995399861599, -3695.7101874677883, -125763.68403411518, 13.774275148356471, -316.8135745369031]","[89.94325095024523, 70.60000204301805, 85.58851341803296, -39.93305319038439, -85.93030556659511]","[81.01508982121254, 42.76907851711337, 88.84964005473576, -14.407573846159835, -41.19366197985906]","[91.09180413771395, 57.14015244688376, 81.69487376035013, -6.13397735724294, -37.69918553514135]","[81.77573669967751, 11.221252110822228, 80.15585773170444, -87.39253293389197, -141.61838157632002]","[65.1479400818971, 17.151369374367196, 75.84487457860817, -298.3937060385018, -112.46930337590946]","[91.22600660212301, 72.66200075867987, 81.87875362529539, 37.88877972508174, -184.51566219941128]"
XMR,"[-144.31294561588527, -65.43703129874491, -64.36122741978686, -602.2772318312843, -578.46837562977]","[76.26501529054622, 68.3436632773228, 32.88323639692159, -50.158294581796646, -266.2661783476103]","[37.290938401802514, 49.84134488102116, 80.13804549073812, -477.2456291071718, -72.12934741743936]","[36.803801058651885, 53.61152573039626, 61.712394149962066, -27.654705643372747, -85.09467610880438]","[74.24198304656237, 63.44781325706913, 44.336501010233704, -292.24951611004957, -106.53917525611614]","[-4.026388827603755, 44.49938957234819, -23.627564509450234, -654.4970759289085, -219.96259127017095]","[18.82165438046825, 62.480031650558196, 40.19047229270431, -32.343506919794756, -122.99436327504321]"
VET,"[56.1526094750939, 84.27399866271658, -430.74034807142294, -206.5232098958397, -307.41683179499165]","[93.56711927309608, 94.56322889785987, 87.24440908181343, -43.53918116275419, -79.95041303826392]","[93.21329855778647, 89.45865918570284, 84.33836543665872, -12.243132140289202, -95.11129166978164]","[83.53484166413979, 84.34086112864102, 83.37669640641653, -93.18820508972617, -162.44997221244202]","[94.37857976938808, 94.55028008539288, 81.32884056845441, -47.19446104417017, -71.00262398245481]","[77.06452273868007, 78.12081795369339, 82.47443118195216, -58.39371726833592, -66.08868681549198]","[68.37059276051815, 67.98977874136258, 85.42366435709252, -108.45935805219878, -62.59973985025006]"
ALGO,"[94.45154957593897, 12.265200788772697, 85.06040021834238, -290.1994196254487, -37.39918387213928]","[94.92027647479841, 93.17374604349676, 93.60665885513575, 12.397752673961469, -67.9107554796484]","[92.96422408061431, 96.04578099653386, 77.40621039509713, 21.541678091783925, -123.07744556922242]","[90.37095215644784, 88.37517050118468, 86.93778895132115, -145.78055761572034, -142.70506848579265]","[94.33984568623335, 94.95211455351536, 89.49957638546039, -220.8577367823234, -64.838984699843]","[63.86588615545957, 92.3076007250769, 74.7373621905399, 16.634344535218517, -220.70469761054946]","[88.75494825017995, 84.69883029548886, 94.2479662974332, 23.833398666980184, -342.5528159825671]"
EOS,"[17.060107261134533, 79.77657121090328, 57.44175790756017, 44.50865726692758, -258.9089257419524]","[72.23111202921987, 84.58860891842266, 77.30431683369265, -100.22462298397068, -110.89795198198922]","[67.79083541852754, 67.6985563147863, 94.63997277775931, -40.06570140657754, -87.67777935890744]","[90.49805565162454, 95.12832765612953, 93.22881531028816, -72.82108409403475, -132.0087043488124]","[70.57665869451952, 80.6057958419873, 67.20264302833428, -32.61995124701003, -94.60074199610749]","[48.66478904230852, 41.919833989643934, 57.96646652234714, -37.602302093936814, -104.52526849509154]","[87.0746448436646, 42.61891829263196, 83.97286976983675, 70.63944293906647, -81.40550780588164]"
CHZ,"[-269.9286474159426, -10685.041695223661, -6531943.669239903, -3265.90257007345, -13210.847147731896]","[75.54804091976015, -91.57738741659574, 81.6833515324167, 29.632558482333017, 29.08613954994943]","[-83.65984327673371, 17.245790775572534, 79.94041619456475, 60.6328004044028, 33.1434294126591]","[-34.057266541089525, -54.77197794070246, -56698.87560868396, -2060146.0723664067, -173.1507152880298]","[-133.49525833346942, -29.777994987066446, 83.92163241282128, 43.91489591610071, 23.76848278478509]","[-54.645257000029645, -6.281954456193177, 58.95836081878413, 28.603928221851433, -350.8613086807103]","[75.35750285667683, -59.803963339473576, 76.30423337199072, 39.04397411673246, 40.64150601633409]"
IOTA,"[29.95386892751805, 63.38459864738441, 76.65368214476169, -667.0692067173894, -140.7284469430436]","[92.2183157328302, 82.71012086598373, 88.06251193960587, -55.40306348072761, -253.67684701085813]","[87.29651326042136, 79.59860304981441, 84.91221561398636, -9.800127538785217, -254.27056569413753]","[93.64304469961702, 93.03403556728388, 92.71757494229192, 12.701005674016038, -162.52435394546998]","[84.4059778712206, 76.11009631129546, 87.76156163320753, 29.95745675863374, -135.89413177152863]","[74.98658121380363, 82.66379376339997, 82.14862659162755, 24.159715469094426, -104.8115692177181]","[70.10429324638297, 76.3569745587593, 91.40234689036602, 16.828081633176588, -730.1418741162004]"
NEO,"[42.32562322127853, -62.02670179910649, 48.244157758088555, -105.89751512936398, -135.46277833454332]","[76.59159227083907, 72.86518378799207, 68.63668343965563, -96.96238492230825, -49.77624156669546]","[70.09048109816463, 73.19677745333362, 69.86370805055829, -102.74746336907405, -58.73098036476999]","[81.37651219746985, -54.53257214630376, 46.15831796805923, -148.46505212029692, 2.4395134142381694]","[79.6869702842378, 70.69751449227746, 60.990543104253504, -131.65227578637894, -87.4216265070747]","[56.589260974535605, 64.35834966864317, 84.83040569162654, -163.44767694425713, -57.463459291119456]","[41.819150676611486, -676.1438980556735, 84.90734195501382, -126.13881797069813, -265.73883972667886]"
XTZ,"[85.41180057656605, 33.150192779516786, 87.70733059142877, 54.40575193198153, -6.8775826037584515]","[94.82599619256776, 78.34390621385666, 90.60934324334845, 21.367850868434292, -78.37191428670806]","[91.09959102476147, 84.38598551364697, 81.92092361866395, 30.872751112566526, -193.49809595618203]","[91.66274911386996, 77.3828725400396, 88.05898208428356, 8.87376328556861, -11.827362729805236]","[90.36821892848565, 83.11798252897037, 65.76743893860862, 42.34229970924282, -163.90336468812865]","[86.20019261911335, 50.424825758409796, 84.33388240492017, -289.7092004559194, -239.41465908153424]","[92.65972217323863, 89.11119951441104, 93.94736638812535, 35.93155767850663, -39.93047402101742]"
