,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
LTC,"[-33747.5164338698, -11605.233852867155, -57183.573208891416, -4248.007268835336, -506143.2297961558]","[-855.4206467829905, -564.8377175970206, -1592.9763674807152, -77.54756421011993, -497.5214021456911]","[-399.3742036734117, -279.7334767985526, -848.102686567047, 20.012386110017193, -5664.928213164041]","[48.29886778919853, -178.31367302523603, -276.1397516462013, 70.2732516419794, -18.646381635302316]","[-126.85184399813791, -42.19153957626592, -147.65539497819563, -312.0017417595358, -2653.2771820070625]","[-335.8510442304278, -287.88007753963456, -261.23035373018814, -3.7465162167085926, -1456684.983446948]","[-1571.7347863540847, -2120.6700246914106, -5405.069575571657, -141.84001760763013, -2272.9269984799794]"
TRX,"[-18757.854171160525, -52217.781577024994, -7333.212034973041, -17977.97978336612, -84054.89544355679]","[-62.62619989621388, -63.10179326572315, -99.71065292635421, 60.64830361684046, -11.462342330103573]","[-823.0017778208365, -647.3939938910083, 44.689446931165335, -24.097661271225128, -1079.7446970692597]","[-356.2338086588144, -197.93998640131733, 53.211376310973705, 29.844241382764892, -6973.051138879289]","[-20724.96625927988, -13602.151602896265, -90.30203825076109, 80.28727406681043, -55203.12393620087]","[-3109.24940549168, -3664.6425671662478, -1351.328663697263, -2072.7232961671443, -2165.5807271875005]","[-2506.5809162648634, -12352.065389129306, -2446.7822751528306, -3404.3120586551972, -6904.038526615871]"
ATOM,"[-9488.979659841789, -449.6189746553622, -6008.719130362055, -1801.644701083946, -40792.81088645024]","[-187.01474622886278, 39.012472569682295, -132.9251506763502, -145.09346269802222, -540.0431238462411]","[33.15003709671973, 2.007481768607655, -20.413525938709974, 3.696597892725596, -831.723400480813]","[8.74082968256988, -438.16416906610857, -2.834747514733246, -589.2449232107608, -613.3047975976627]","[46.772349159390494, -128.59436602787179, -1100.6386314235535, -754.209769575722, -1417.4383871822008]","[-2745.0951818796343, -1846.5784133403217, -1979.3924654399138, -2326.5024455876473, -867.9549702364769]","[11.868290576384597, -114.14420427845069, -628.159741348734, -7.90736113728231, -313.3575329524258]"
XMR,"[-127989.04741020687, -32628.898105654833, -4690.659077849667, -4731.168067215022, -16804.65585427848]","[-6.214098523523642, -5622.589981925243, -196.6368905958956, -630.3531547002746, -3478.4451230050927]","[-566.8901674963367, -3501.59572445024, -206.86359835697056, 41.28788371601088, -467.8715012852019]","[-3187.850062120545, -1002.0668971349133, -341.1540673693238, -126.20753149514346, -638.3268392542006]","[-9215.907503797549, -14545.570126299612, -1400.9611735811698, -202.08284801970672, -2889.0934816421113]","[-13625.864210283231, -16246.718571367657, -87.12317750560378, -163.80610538538937, -71104.75531512941]","[-2601.50145831075, -244.60352895778138, -408.4096582429094, -624.3496595926747, -7642.0521510297]"
VET,"[-25295.332281015562, -17743.095731481306, -123755.5963539465, -12146.51709620417, -23643.95152046492]","[-954.299955973051, -624.9383902560727, 39.41311619888185, -314.6374131903127, -34.83527337329616]","[-58.32784870386792, -148.12321678892346, 47.6235185661427, -201.23871900810335, -810.7416303977747]","[-2911.827243285166, -4094.0573487980123, -1866.281492476937, -656.1800369020079, -4523.572896289483]","[28.030358710792964, -11007.810728245571, 31.10289982463989, 54.67322524977749, -126.25562962520338]","[-679.8075465157906, -209.47842392508312, -30.69110283277341, -255.07016019248994, -216.24639893366106]","[-126246.45292475067, -27359.797083037232, -13573.083285410516, -183095.07386406613, -20625.04507846858]"
ALGO,"[-24145.39096852584, -100.97695794721302, -28155.459220461773, -2679.7348960639874, -1416.039844991639]","[-216.1481813296137, -556.301998309227, -70.40437537578917, -195.15257198552257, -65.40411683521728]","[-34.748823855824014, 31.138693106572823, -182.9561281710823, 38.07638581447936, 66.26551668324588]","[-34.701405875216864, 29.353125359987953, -672.3468036064886, 38.20289695316116, -65.74733408560797]","[56.57543526477984, -73.71065215217956, -179.36049555558574, -97.48604869608775, 14.617460738078442]","[-1652.4194230219177, -2214.3439735304087, -8449.605298586826, -1584.6122027702572, -3450.294287065811]","[-4356.328927934761, -9.122797089589762, -4024.5326157204454, -1067.1610962054526, -12721.152216701328]"
EOS,"[-14484.229992334956, -10159.21979148661, -38683.37403372549, 24.398776880410423, -18071.96974485217]","[-70.09419337123161, -11.616060905875722, -10.126378242412752, 79.54275755137758, -6739.4870727680445]","[78.26042903633778, -36.87398886883527, 54.3474044560369, 60.24345200292116, -47.553057759223734]","[-79.5696567943709, -539.8076851186696, -370.01718226283424, -127.68211947458849, -1473.0484702955384]","[60.8416153406875, -236.62823908395075, -768.0251654177379, -306.2739144503912, -12095.836718406583]","[-3480.7205760954666, -484.1165997442592, -1004.7632217817956, 24.097160563932643, -474.7831647660759]","[-6066.04743171214, -17638.9065774526, 5.046159585529089, -2583.253812417257, -12559.033138037556]"
CHZ,"[-17887.956447171946, -5344.246480321529, -7428.181359848189, -20490.708111414624, -100582.36478193673]","[-10.140304360622563, -60.21344427335992, -1302.5359218719054, -232.6913779210454, -2733.0055496066007]","[-12.506951364151547, -120.40426205276454, -255.3049424476336, 69.86717274029955, -816.7809221734211]","[-243.26985319818505, -160.61680846739966, -734.8849993963778, -298.2572695610446, -2468.1200068500348]","[-641.7744996487938, 50.23611273372378, -261.02923050906134, 44.6022104970677, -1996.7499308773647]","[-810.9381591160527, -1600.8530811463716, -2800.486064268822, -7307.5146697853, -12357.734898627188]","[-11569.38225517846, -5820.239146488107, -120581.01833147061, -7747.291732421147, -37007.24045428669]"
IOTA,"[-14391.619489049264, -12991.660809990273, -2287.6839608147316, -3949.7547719268928, -829.5112640431571]","[-537.8701968808382, -1071.9208878239463, -1748.440186559082, -212.02856553104473, 39.22426227396454]","[-24.220992781342748, -61.52144179224314, -134.0115414871869, 32.434380931258396, -66.75224070035321]","[-74.57122754049581, -87.62669321473598, -165.07381996817824, 40.513810700332414, -46.45938966479514]","[15.92421891716198, -234.09639301703044, 27.388616554192126, -170.37099508967174, 47.556842786860834]","[-2041.0664579393667, -3688.9798490480766, -350.3134493877807, -1122.0947595291798, -1111.8223330855621]","[-7433.840658623318, -12458.958858895563, -10784.524683237045, -3271.8211863385354, -8962.644849561068]"
NEO,"[-360.53976781652153, -10148.296811860833, -69971.67100554712, -1828.6529602311139, -241658.3024279973]","[-23.386317834916877, -1668.1224853452463, -1393.9464945394548, -1535.0004944598516, -8804.310603114778]","[39.721321596045, 49.7120860050618, 54.05239832549742, 80.29707987992757, -165.15971991346578]","[-140.73451885332017, -275.1690447299005, 30.833487301706477, 71.62206036511346, -184.29234209052458]","[63.98987460009079, -278.94467536459234, -172.38534129302786, -15.39455511545096, -2946.9937359616306]","[-2216.29333210243, -368.8980750481632, -3044.9345862527643, -240.47273189481393, -4304.5236880858165]","[-4456.665772613076, -4059.5312729277694, -8159.922027807672, -1973.1124998876173, -3682.6842886344893]"
XTZ,"[-25369.498819150158, -821750.4770735651, -120864.50495829139, -14837.126085857622, -37497.35405490182]","[-91.6244222655439, -2291.6263685761414, 50.38426627155792, -1604.424486478386, -6143.958919240567]","[-4925.9481677479325, -1818.990581711181, -4405.203690290534, -229.3960158635681, -454.1727379800479]","[-820.4130669892139, -634.6220276721315, -49.271277618994894, -1812.2105828078343, -1871.7410244608886]","[-312.2326471376252, -112.86728939799117, -779.3981991541713, 19.47782139042272, -70.15442709198179]","[-931.7232015511806, -498.3491269184353, -76.47345851196872, -268.4630568733175, -887.0695864501887]","[-7540.576587278953, -2816.5725611562734, -441.00561067511796, -1143.7586902382768, -4968.243322387659]"
