,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
LTC,"[-273.39507872289346, -933.9019605566532, -63097.10247131011, -818.6047939522421, -9.902824433291219]","[73.2216761195831, -39.04526709385528, -18.321436054387284, 74.23632145607885, -21.20548414069668]","[65.42848587366241, 49.12542212129821, -440.66441383011653, -106.73238179966935, -1.0198708074762375]","[41.067821100775376, 65.96905928854756, -112.45106260353757, 61.006552010463636, -949.8402676298614]","[80.68326871782136, 28.953307027734066, -67.73601425767956, -68.92100707191818, -110.8633317181931]","[-64.35100043143763, -59.61451234877504, -386.2190123281268, 38.51512736631501, -466.6950529023699]","[-197.80920706434733, -470.36264488126864, -2335.9324585749027, -232.6076822882617, -1610.8591538937542]"
TRX,"[-551.9394661702563, -396.05559297569556, -6414.753708968339, -564.7662024019105, -1779.0833436949722]","[67.06582102597898, -22.849371532074997, 19.87650084314395, 72.92667211586648, 58.71738666153331]","[39.266792406252534, 7.909435217317455, 80.00112825771211, 48.69588147644491, 10.445318490248754]","[77.07094637777706, -85.54375763210386, 79.77671418114376, 20.629277392838784, -174.3003924903227]","[-66.15569474682538, -665.4692442124853, -184.20101915532453, -185.30601036046463, -240.53204254313516]","[-57.611373098782906, -352.3201170632297, -127.24939588367079, -12.322995396610189, -78.50218049495145]","[5.211853148404522, -1185.9391673113396, -115.54856744830433, -1271.2216438014657, -12952.733130501125]"
ATOM,"[-428.7455098264342, -96300914637650.66, -1272.5157373264187, -1251.8912541181573, -3323.458777239543]","[69.84713403143037, 3.0505679900436213, 37.59951565117427, -59.709518599984776, -227.27936422124776]","[-123.90560162489153, -155.8025308424492, -487.61654671222834, -6.302863790278422, -801.6745984131021]","[43.59024593762018, 34.47159899313439, 56.80040451737579, -28.189220559549245, -1148.4325088014994]","[-12.875486420901765, -21.901595023290753, 64.18577618333782, -205.62625745669402, 4.133464730477758]","[60.84879368677628, -2362.9748047717676, -154.54471125426457, -21.993778507397458, -136.4601981102404]","[-163.64239659831284, -498.05135055135094, -793.9557494472165, -129.6986099389473, -78247.4960628594]"
XMR,"[-384.9344459621667, -84563.88630945221, -13470.902758716404, -1176.9264620638862, -1842.548299748388]","[56.517162988657844, -22.79935361538228, 28.69254979801927, 31.137787314612314, -186.8023389566587]","[73.5222943381753, 47.3948424416283, -142.09029111387622, -19.333234496347764, -222.27603599663848]","[42.655828365210944, 18.08778238895048, 6.806761313918025, -481.96125689307445, -1136.4137592777124]","[-112.05109797088282, -188.57446962879675, 39.923228268419415, -61.05984419699896, -1053.1475656174255]","[-5.312767318853376, -165.71645135353995, -128.2318153719398, -373.11886239337923, -230.49799617276082]","[-70.57917748724964, -567.5378396201935, -856.8425829269138, -1738.028366868117, -1416.932183865731]"
VET,"[-593.9204854467176, -15753.489537944657, -243.18082288973426, -1426.6051869596113, -1340.9812177527144]","[18.634885684112763, -78.28143657126618, -25.334430391369605, 2.007497334548635, -69.92745872327049]","[64.1599653969913, -324.1926231198177, 73.79944895210787, 61.552100437742205, -21.93182627021421]","[70.56031364287772, 23.949927680411218, 75.74077412634578, 35.96525927773956, 27.279649462241757]","[-45.01383202461684, -635.8337305164113, -175.00639630003252, 54.67778222032129, -936.8632915717365]","[18.09098776355949, -406.1563009377254, 48.958157528494745, -21.116684834666284, -264.01131758743526]","[-35.41694283475356, -487.37514043128317, -72.31566581011592, -461.0358795691739, -525.4059083537775]"
ALGO,"[-927.4457163828165, -168.5235128934284, -751.6796859697971, -832.9116022491029, -70532.9758023856]","[-124.23494451238042, -91.47471494636257, 51.96327632552784, -89.38707145446084, -195.5056865751831]","[13.461976274515006, -3.700178879306966, 14.102036493221206, 57.543016632236665, -170.34664141146547]","[68.19606868035599, 6.306184603005232, -78.36988549841767, -24.801346477209552, -236.72573704441228]","[37.36285473765367, 53.720571335962475, 35.221723531494845, -709.0375679657259, -844.957485022451]","[33.77092743571703, 17.002595514569794, -102.44296160059822, -278.88393495636484, -1862.0571479334196]","[-67.36696808488486, 28.513598036419918, 29.41798926448685, 43.847940112968615, -110.14328781459449]"
EOS,"[-504.7942282308358, -1096.4155029842611, -212.81725977625268, -240.94444930987132, -1123.4477188638268]","[73.6539292907658, 27.28797189395045, 39.83530912526041, 73.6680346206539, -92.70721025551845]","[72.28776880935244, 46.619870729348214, 72.94047442806313, 77.93212827547325, 25.628397851706303]","[32.665448923293575, 12.723239101324681, 72.09687196298313, 76.43681316393682, 35.043004827781296]","[46.84344762911125, -1002.5466634699711, 32.28610698157693, -135.66430180157786, 31.55537050169726]","[-100.56995944427423, -1779.0471846514497, -109.7433787508291, 61.22436431504664, -236.1730372238191]","[-240.20554230579015, -628.2208168364026, -386.37704883353274, -199.680922866835, -89.46499869381438]"
CHZ,"[-589386.5405347944, -730.2755629045735, -60627.720716940305, -18047.1875325417, -24782591.765379913]","[67.08111725699833, 9.40579528796298, -82.36596823611913, 24.567218002538315, -27.147720831406335]","[39.66909443730887, -22.756970904607037, -522.8142176473322, -210.6337990667611, 49.149612928540265]","[30.59851828757842, -84.57071709815219, -197.4245067419769, 55.309007776919785, -166.5196631213438]","[46.98757237547303, -276.6783438073299, -3.552020144920586, 56.13713914991536, 39.94051558716179]","[19.547218674926008, -516.8605549285379, -48.837119431181414, -750.5745553764859, -174.50145241809741]","[34.1019834868712, -89.18888353378411, -172.39554744499796, -155.7933016472105, -1842.1416734840668]"
IOTA,"[-209.6867131895285, -586.0420611270121, -43.881339495286795, -814.629147280493, -134.8440851351931]","[41.24840422297184, -1.4809578677963993, 60.73155779995047, 56.757828171025594, -136.896455558601]","[30.231056811383155, 17.11181400189215, 51.641850904848184, -396.4296382875406, -1328.1701691797005]","[66.00369841082853, -269.25883427910327, 65.3492185384473, -24.82428617824867, 11.571232386692108]","[52.30664722892088, -88.18432848851359, -56.38090092044785, 7.359720422921595, -435.9266940968433]","[7.174814306753206, -146.409178345302, -213.63835237732079, -62.88479371076986, -583.5707626548461]","[-490.7537712936745, -6429.137860714829, -666.5713040554042, -219.19396694875007, 48.006133855628086]"
NEO,"[-18100807.473174337, -3914952136.0787497, -60.07219539649815, -1060062.061799688, -4951582.712767141]","[-24.736829751715405, -28.634447402181845, 75.08919611542065, -81.79736833379205, -199.28358795260155]","[-22.366151651966927, -63.377435514476396, 50.606039662468326, -90.6341071520823, -216.98959669436925]","[34.72578390378753, -255.97034220079985, 20.941181406095854, -207.83220111866362, -518.0486210596325]","[27.885799583076214, 2.748322514589386, 81.65402132213822, -364.5916433975875, -338.39846524233684]","[15.386284664438971, -169.84554480979432, 55.15666067954456, -1.407287958253847, -1651.1078151363397]","[-160.8721782860169, -2731.0871309691984, -9.700399800866505, -177.39870229661784, -1237.0727418187498]"
XTZ,"[-275358677259050.97, -637.4589281188837, -2.3819247085477466e+17, -1.4169345016516686e+27, -9722633.771519147]","[80.74684191362391, 64.44147133746891, 49.711395648778876, -60.78289804874535, -28.589460663984767]","[75.20765830893674, 34.572918406547885, -35.87139859406297, 8.221197109828433, -34.13337861292691]","[42.76463523749795, 48.24661659308687, 55.44896457688786, -171.0175051777433, -1347.7275429587362]","[77.53917048243343, -9.155314295370946, -29.188106977809504, -2145.9254278706853, -165.95682843977323]","[3.7215956632240235, 45.9396746722653, -212.80050495073422, -52.71225221844951, -18.647452748168426]","[42.26958035209133, 8.399889498912984, 64.78877519218462, -194.0195368521935, 23.391940956272464]"
