Coin,Time Frame,Ljung-Box,Breusch-Godfrey,Lag
BTC,1m,Not Autocorrelated,Not Autocorrelated,21
BTC,1m,Not Autocorrelated,Not Autocorrelated,22
BTC,1m,Not Autocorrelated,Not Autocorrelated,23
BTC,1m,Not Autocorrelated,Not Autocorrelated,24
BTC,1m,Not Autocorrelated,Not Autocorrelated,25
BTC,1m,Not Autocorrelated,Not Autocorrelated,26
BTC,1m,Not Autocorrelated,Not Autocorrelated,27
BTC,1m,Not Autocorrelated,Not Autocorrelated,28
BTC,1m,Not Autocorrelated,Not Autocorrelated,29
BTC,1m,Not Autocorrelated,Not Autocorrelated,30
BTC,1m,Not Autocorrelated,Not Autocorrelated,31
BTC,1m,Not Autocorrelated,Not Autocorrelated,32
BTC,1m,Not Autocorrelated,Not Autocorrelated,33
BTC,1m,Not Autocorrelated,Not Autocorrelated,34
BTC,1m,Not Autocorrelated,Not Autocorrelated,35
BTC,1m,Not Autocorrelated,Not Autocorrelated,36
BTC,1m,Not Autocorrelated,Not Autocorrelated,37
BTC,1m,Not Autocorrelated,Not Autocorrelated,38
BTC,1m,Not Autocorrelated,Not Autocorrelated,39
BTC,1m,Not Autocorrelated,Not Autocorrelated,40
BTC,1m,Not Autocorrelated,Not Autocorrelated,41
BTC,1m,Not Autocorrelated,Not Autocorrelated,42
BTC,1m,Not Autocorrelated,Not Autocorrelated,43
BTC,1m,Not Autocorrelated,Not Autocorrelated,44
BTC,1m,Not Autocorrelated,Not Autocorrelated,45
BTC,1m,Not Autocorrelated,Not Autocorrelated,46
BTC,1m,Not Autocorrelated,Not Autocorrelated,47
BTC,1m,Not Autocorrelated,Not Autocorrelated,48
BTC,1m,Not Autocorrelated,Not Autocorrelated,49
BTC,1m,Not Autocorrelated,Not Autocorrelated,50
BTC,1m,Not Autocorrelated,Not Autocorrelated,51
BTC,1m,Not Autocorrelated,Not Autocorrelated,52
BTC,1m,Not Autocorrelated,Not Autocorrelated,53
BTC,1m,Not Autocorrelated,Not Autocorrelated,54
BTC,1m,Not Autocorrelated,Not Autocorrelated,55
BTC,1m,Not Autocorrelated,Not Autocorrelated,56
BTC,1m,Not Autocorrelated,Not Autocorrelated,57
BTC,1m,Not Autocorrelated,Not Autocorrelated,58
BTC,1m,Not Autocorrelated,Not Autocorrelated,59
BTC,1m,Not Autocorrelated,Not Autocorrelated,60
BTC,1m,Not Autocorrelated,Not Autocorrelated,61
BTC,1m,Not Autocorrelated,Not Autocorrelated,62
BTC,1m,Not Autocorrelated,Not Autocorrelated,63
BTC,1m,Not Autocorrelated,Not Autocorrelated,64
BTC,1m,Not Autocorrelated,Not Autocorrelated,65
BTC,1m,Not Autocorrelated,Not Autocorrelated,66
BTC,1m,Not Autocorrelated,Not Autocorrelated,67
BTC,1m,Not Autocorrelated,Not Autocorrelated,68
BTC,1m,Not Autocorrelated,Not Autocorrelated,69
BTC,1m,Not Autocorrelated,Not Autocorrelated,70
BTC,1m,Not Autocorrelated,Not Autocorrelated,71
BTC,1m,Not Autocorrelated,Not Autocorrelated,72
BTC,1m,Not Autocorrelated,Not Autocorrelated,73
BTC,1m,Not Autocorrelated,Not Autocorrelated,74
BTC,1m,Not Autocorrelated,Not Autocorrelated,75
BTC,1m,Not Autocorrelated,Not Autocorrelated,76
BTC,1m,Not Autocorrelated,Not Autocorrelated,77
BTC,1m,Not Autocorrelated,Not Autocorrelated,78
BTC,1m,Not Autocorrelated,Not Autocorrelated,79
BTC,1m,Not Autocorrelated,Not Autocorrelated,80
BTC,1m,Not Autocorrelated,Not Autocorrelated,81
BTC,1m,Not Autocorrelated,Not Autocorrelated,82
BTC,1m,Not Autocorrelated,Not Autocorrelated,83
BTC,1m,Not Autocorrelated,Not Autocorrelated,84
BTC,1m,Not Autocorrelated,Not Autocorrelated,85
BTC,1m,Not Autocorrelated,Not Autocorrelated,86
BTC,1m,Not Autocorrelated,Not Autocorrelated,87
BTC,1m,Not Autocorrelated,Not Autocorrelated,88
BTC,1m,Not Autocorrelated,Not Autocorrelated,89
BTC,1m,Not Autocorrelated,Not Autocorrelated,90
BTC,1m,Not Autocorrelated,Not Autocorrelated,91
BTC,1m,Not Autocorrelated,Not Autocorrelated,92
BTC,1m,Not Autocorrelated,Not Autocorrelated,93
BTC,1m,Not Autocorrelated,Not Autocorrelated,94
BTC,1m,Not Autocorrelated,Not Autocorrelated,95
BTC,1m,Not Autocorrelated,Not Autocorrelated,96
BTC,1m,Not Autocorrelated,Not Autocorrelated,97
BTC,1m,Not Autocorrelated,Not Autocorrelated,98
BTC,1m,Not Autocorrelated,Not Autocorrelated,99
BTC,1m,Not Autocorrelated,Not Autocorrelated,100
BTC,1m,Not Autocorrelated,Not Autocorrelated,1
BTC,1m,Not Autocorrelated,Not Autocorrelated,2
BTC,1m,Not Autocorrelated,Not Autocorrelated,3
BTC,1m,Not Autocorrelated,Not Autocorrelated,4
BTC,1m,Not Autocorrelated,Not Autocorrelated,5
BTC,1m,Not Autocorrelated,Not Autocorrelated,6
BTC,1m,Not Autocorrelated,Not Autocorrelated,7
BTC,1m,Not Autocorrelated,Not Autocorrelated,8
BTC,1m,Not Autocorrelated,Not Autocorrelated,9
BTC,1m,Not Autocorrelated,Not Autocorrelated,10
BTC,1m,Not Autocorrelated,Not Autocorrelated,11
BTC,1m,Not Autocorrelated,Not Autocorrelated,12
BTC,1m,Not Autocorrelated,Not Autocorrelated,13
BTC,1m,Not Autocorrelated,Not Autocorrelated,14
BTC,1m,Not Autocorrelated,Not Autocorrelated,15
BTC,1m,Not Autocorrelated,Not Autocorrelated,16
BTC,1m,Not Autocorrelated,Not Autocorrelated,17
BTC,1m,Not Autocorrelated,Not Autocorrelated,18
BTC,1m,Not Autocorrelated,Not Autocorrelated,19
BTC,1m,Not Autocorrelated,Not Autocorrelated,20
BTC,1m,Not Autocorrelated,Not Autocorrelated,21
BTC,1m,Not Autocorrelated,Not Autocorrelated,22
BTC,1m,Not Autocorrelated,Not Autocorrelated,23
BTC,1m,Not Autocorrelated,Not Autocorrelated,24
BTC,1m,Not Autocorrelated,Not Autocorrelated,25
BTC,1m,Not Autocorrelated,Not Autocorrelated,26
BTC,1m,Not Autocorrelated,Not Autocorrelated,27
BTC,1m,Not Autocorrelated,Not Autocorrelated,28
BTC,1m,Not Autocorrelated,Not Autocorrelated,29
BTC,1m,Not Autocorrelated,Not Autocorrelated,30
BTC,1m,Not Autocorrelated,Not Autocorrelated,31
BTC,1m,Not Autocorrelated,Not Autocorrelated,32
BTC,1m,Not Autocorrelated,Not Autocorrelated,33
BTC,1m,Not Autocorrelated,Not Autocorrelated,34
BTC,1m,Not Autocorrelated,Not Autocorrelated,35
BTC,1m,Not Autocorrelated,Not Autocorrelated,36
BTC,1m,Not Autocorrelated,Not Autocorrelated,37
