Coin,Time Frame,Durbin-Watson
DOGE,4h,Not Autocorrelated
DOGE,4h,Not Autocorrelated
DOGE,4h,Not Autocorrelated
DOGE,4h,Not Autocorrelated
DOGE,1d,Not Autocorrelated
DOGE,1d,Not Autocorrelated
DOGE,1d,Not Autocorrelated
DOGE,1d,Not Autocorrelated
DOGE,1d,Not Autocorrelated
MATIC,1m,Not Autocorrelated
MATIC,1m,Not Autocorrelated
MATIC,1m,Not Autocorrelated
MATIC,1m,Not Autocorrelated
MATIC,1m,Not Autocorrelated
MATIC,15m,Not Autocorrelated
MATIC,15m,Not Autocorrelated
MATIC,15m,Not Autocorrelated
MATIC,15m,Not Autocorrelated
MATIC,15m,Not Autocorrelated
MATIC,4h,Not Autocorrelated
MATIC,4h,Not Autocorrelated
MATIC,4h,Not Autocorrelated
MATIC,4h,Not Autocorrelated
MATIC,4h,Not Autocorrelated
MATIC,1d,Not Autocorrelated
MATIC,1d,Not Autocorrelated
MATIC,1d,Not Autocorrelated
MATIC,1d,Not Autocorrelated
MATIC,1d,Not Autocorrelated
LINK,1m,Not Autocorrelated
LINK,1m,Not Autocorrelated
LINK,1m,Not Autocorrelated
LINK,1m,Not Autocorrelated
LINK,1m,Not Autocorrelated
LINK,15m,Not Autocorrelated
LINK,15m,Not Autocorrelated
LINK,15m,Not Autocorrelated
LINK,15m,Not Autocorrelated
LINK,15m,Not Autocorrelated
LINK,4h,Not Autocorrelated
LINK,4h,Not Autocorrelated
LINK,4h,Not Autocorrelated
LINK,4h,Not Autocorrelated
LINK,4h,Not Autocorrelated
LINK,1d,Not Autocorrelated
LINK,1d,Not Autocorrelated
LINK,1d,Not Autocorrelated
LINK,1d,Not Autocorrelated
LINK,1d,Not Autocorrelated
ETC,1m,Not Autocorrelated
ETC,1m,Not Autocorrelated
ETC,1m,Not Autocorrelated
ETC,1m,Not Autocorrelated
ETC,1m,Not Autocorrelated
ETC,15m,Not Autocorrelated
ETC,15m,Not Autocorrelated
ETC,15m,Not Autocorrelated
ETC,15m,Not Autocorrelated
ETC,15m,Not Autocorrelated
ETC,4h,Not Autocorrelated
ETC,4h,Not Autocorrelated
ETC,4h,Not Autocorrelated
ETC,4h,Not Autocorrelated
ETC,4h,Not Autocorrelated
ETC,1d,Not Autocorrelated
ETC,1d,Not Autocorrelated
ETC,1d,Not Autocorrelated
ETC,1d,Not Autocorrelated
ETC,1d,Not Autocorrelated
XLM,1m,Not Autocorrelated
XLM,1m,Not Autocorrelated
XLM,1m,Not Autocorrelated
XLM,1m,Not Autocorrelated
XLM,1m,Not Autocorrelated
XLM,15m,Not Autocorrelated
XLM,15m,Not Autocorrelated
XLM,15m,Not Autocorrelated
XLM,15m,Not Autocorrelated
XLM,15m,Not Autocorrelated
XLM,4h,Not Autocorrelated
XLM,4h,Not Autocorrelated
XLM,4h,Not Autocorrelated
XLM,4h,Not Autocorrelated
XLM,4h,Not Autocorrelated
XLM,1d,Not Autocorrelated
XLM,1d,Not Autocorrelated
XLM,1d,Not Autocorrelated
XLM,1d,Not Autocorrelated
XLM,1d,Not Autocorrelated
LTC,1m,Not Autocorrelated
LTC,1m,Not Autocorrelated
LTC,1m,Not Autocorrelated
LTC,1m,Not Autocorrelated
LTC,1m,Not Autocorrelated
LTC,15m,Not Autocorrelated
LTC,15m,Not Autocorrelated
LTC,15m,Not Autocorrelated
LTC,15m,Not Autocorrelated
LTC,15m,Not Autocorrelated
LTC,4h,Not Autocorrelated
LTC,4h,Not Autocorrelated
LTC,4h,Not Autocorrelated
LTC,4h,Not Autocorrelated
LTC,4h,Not Autocorrelated
LTC,1d,Not Autocorrelated
LTC,1d,Not Autocorrelated
LTC,1d,Not Autocorrelated
LTC,1d,Not Autocorrelated
LTC,1d,Not Autocorrelated
TRX,1m,Not Autocorrelated
TRX,1m,Not Autocorrelated
TRX,1m,Not Autocorrelated
TRX,1m,Not Autocorrelated
TRX,1m,Not Autocorrelated
TRX,15m,Not Autocorrelated
TRX,15m,Not Autocorrelated
TRX,15m,Not Autocorrelated
TRX,15m,Not Autocorrelated
TRX,15m,Not Autocorrelated
TRX,4h,Not Autocorrelated
TRX,4h,Not Autocorrelated
TRX,4h,Not Autocorrelated
TRX,4h,Not Autocorrelated
TRX,4h,Not Autocorrelated
TRX,1d,Not Autocorrelated
TRX,1d,Not Autocorrelated
TRX,1d,Not Autocorrelated
TRX,1d,Not Autocorrelated
TRX,1d,Not Autocorrelated
ATOM,1m,Not Autocorrelated
ATOM,1m,Not Autocorrelated
ATOM,1m,Not Autocorrelated
ATOM,1m,Not Autocorrelated
ATOM,1m,Not Autocorrelated
ATOM,15m,Not Autocorrelated
ATOM,15m,Not Autocorrelated
ATOM,15m,Not Autocorrelated
ATOM,15m,Not Autocorrelated
ATOM,15m,Not Autocorrelated
ATOM,4h,Not Autocorrelated
ATOM,4h,Not Autocorrelated
ATOM,4h,Not Autocorrelated
ATOM,4h,Not Autocorrelated
ATOM,4h,Not Autocorrelated
ATOM,1d,Not Autocorrelated
ATOM,1d,Not Autocorrelated
ATOM,1d,Not Autocorrelated
ATOM,1d,Not Autocorrelated
ATOM,1d,Not Autocorrelated
XMR,1m,Not Autocorrelated
XMR,1m,Not Autocorrelated
XMR,1m,Not Autocorrelated
XMR,1m,Not Autocorrelated
XMR,1m,Not Autocorrelated
XMR,15m,Not Autocorrelated
XMR,15m,Not Autocorrelated
XMR,15m,Not Autocorrelated
XMR,15m,Not Autocorrelated
XMR,15m,Not Autocorrelated
XMR,4h,Not Autocorrelated
XMR,4h,Not Autocorrelated
XMR,4h,Not Autocorrelated
XMR,4h,Not Autocorrelated
XMR,4h,Not Autocorrelated
XMR,1d,Not Autocorrelated
XMR,1d,Not Autocorrelated
XMR,1d,Not Autocorrelated
XMR,1d,Not Autocorrelated
XMR,1d,Not Autocorrelated
VET,1m,Not Autocorrelated
VET,1m,Not Autocorrelated
VET,1m,Not Autocorrelated
VET,1m,Not Autocorrelated
VET,1m,Not Autocorrelated
VET,15m,Not Autocorrelated
VET,15m,Not Autocorrelated
VET,15m,Not Autocorrelated
VET,15m,Not Autocorrelated
VET,15m,Not Autocorrelated
VET,4h,Not Autocorrelated
VET,4h,Not Autocorrelated
VET,4h,Not Autocorrelated
VET,4h,Not Autocorrelated
VET,4h,Not Autocorrelated
VET,1d,Not Autocorrelated
VET,1d,Not Autocorrelated
VET,1d,Not Autocorrelated
VET,1d,Not Autocorrelated
VET,1d,Not Autocorrelated
ALGO,1m,Not Autocorrelated
ALGO,1m,Not Autocorrelated
ALGO,1m,Not Autocorrelated
ALGO,1m,Not Autocorrelated
ALGO,1m,Not Autocorrelated
ALGO,15m,Not Autocorrelated
ALGO,15m,Not Autocorrelated
ALGO,15m,Not Autocorrelated
ALGO,15m,Not Autocorrelated
ALGO,15m,Not Autocorrelated
ALGO,4h,Not Autocorrelated
ALGO,4h,Not Autocorrelated
ALGO,4h,Not Autocorrelated
ALGO,4h,Not Autocorrelated
ALGO,4h,Not Autocorrelated
ALGO,1d,Not Autocorrelated
ALGO,1d,Not Autocorrelated
ALGO,1d,Not Autocorrelated
ALGO,1d,Not Autocorrelated
ALGO,1d,Not Autocorrelated
EOS,1m,Not Autocorrelated
EOS,1m,Not Autocorrelated
EOS,1m,Not Autocorrelated
EOS,1m,Not Autocorrelated
EOS,1m,Not Autocorrelated
EOS,15m,Not Autocorrelated
EOS,15m,Not Autocorrelated
EOS,15m,Not Autocorrelated
EOS,15m,Not Autocorrelated
EOS,15m,Not Autocorrelated
EOS,4h,Not Autocorrelated
EOS,4h,Not Autocorrelated
EOS,4h,Not Autocorrelated
EOS,4h,Not Autocorrelated
EOS,4h,Not Autocorrelated
EOS,1d,Not Autocorrelated
EOS,1d,Not Autocorrelated
EOS,1d,Not Autocorrelated
EOS,1d,Not Autocorrelated
EOS,1d,Not Autocorrelated
CHZ,1m,Not Autocorrelated
CHZ,1m,Not Autocorrelated
CHZ,1m,Not Autocorrelated
CHZ,1m,Not Autocorrelated
CHZ,1m,Not Autocorrelated
CHZ,15m,Not Autocorrelated
CHZ,15m,Not Autocorrelated
CHZ,15m,Not Autocorrelated
CHZ,15m,Not Autocorrelated
CHZ,15m,Not Autocorrelated
CHZ,4h,Not Autocorrelated
CHZ,4h,Not Autocorrelated
CHZ,4h,Not Autocorrelated
CHZ,4h,Not Autocorrelated
CHZ,4h,Not Autocorrelated
CHZ,1d,Not Autocorrelated
CHZ,1d,Not Autocorrelated
CHZ,1d,Not Autocorrelated
CHZ,1d,Not Autocorrelated
CHZ,1d,Not Autocorrelated
IOTA,1m,Not Autocorrelated
IOTA,1m,Not Autocorrelated
IOTA,1m,Not Autocorrelated
IOTA,1m,Not Autocorrelated
IOTA,1m,Not Autocorrelated
IOTA,15m,Not Autocorrelated
IOTA,15m,Not Autocorrelated
IOTA,15m,Not Autocorrelated
IOTA,15m,Not Autocorrelated
IOTA,15m,Not Autocorrelated
IOTA,4h,Not Autocorrelated
IOTA,4h,Not Autocorrelated
IOTA,4h,Not Autocorrelated
IOTA,4h,Not Autocorrelated
IOTA,4h,Not Autocorrelated
IOTA,1d,Not Autocorrelated
IOTA,1d,Not Autocorrelated
IOTA,1d,Not Autocorrelated
IOTA,1d,Not Autocorrelated
IOTA,1d,Not Autocorrelated
NEO,1m,Not Autocorrelated
NEO,1m,Not Autocorrelated
NEO,1m,Not Autocorrelated
NEO,1m,Not Autocorrelated
NEO,1m,Not Autocorrelated
NEO,15m,Not Autocorrelated
NEO,15m,Not Autocorrelated
NEO,15m,Not Autocorrelated
NEO,15m,Not Autocorrelated
NEO,15m,Not Autocorrelated
NEO,4h,Not Autocorrelated
NEO,4h,Not Autocorrelated
NEO,4h,Not Autocorrelated
NEO,4h,Not Autocorrelated
NEO,4h,Not Autocorrelated
NEO,1d,Not Autocorrelated
NEO,1d,Not Autocorrelated
NEO,1d,Not Autocorrelated
NEO,1d,Not Autocorrelated
NEO,1d,Not Autocorrelated
XTZ,1m,Not Autocorrelated
XTZ,1m,Not Autocorrelated
XTZ,1m,Not Autocorrelated
XTZ,1m,Not Autocorrelated
XTZ,1m,Not Autocorrelated
XTZ,15m,Not Autocorrelated
XTZ,15m,Not Autocorrelated
XTZ,15m,Not Autocorrelated
XTZ,15m,Not Autocorrelated
XTZ,15m,Not Autocorrelated
XTZ,4h,Not Autocorrelated
XTZ,4h,Not Autocorrelated
XTZ,4h,Not Autocorrelated
XTZ,4h,Not Autocorrelated
XTZ,4h,Not Autocorrelated
XTZ,1d,Not Autocorrelated
XTZ,1d,Not Autocorrelated
XTZ,1d,Not Autocorrelated
XTZ,1d,Not Autocorrelated
XTZ,1d,Not Autocorrelated
